Слово,Пиньинь,Перевод слова
['比较'],['bǐjiào'],"['сравнивать, сравнительно, относительно']"
['比例'],['bǐlì'],['пропорция; соотношение']
['比赛'],['bǐsài'],['соревнование']
['必然'],['bìrán'],"['необходимый, неизбежный; непременно, обязательно, неизбежно; неотвратимо; конечно']"
['必要'],['bìyào'],"['необходимый, нужный; необходимость']"
['变化'],['biànhuà'],"['перемена, менять(-ся)']"
['变为'],['biànwéi'],"['измениться, поменяться на']"
['标题'],['biāotí'],"['заголовок, заглавие; дать заглавие; предметная рубрика; тема; тематический']"
['标准'],['biāozhǔn'],"['стандарт, нормативный, стандартный']"
['表达'],['biǎodá'],"['выражать, формулировать; выразительный, экспрессивный']"
['表格'],['biǎogé'],"['таблица, бланк']"
['表面'],['biǎomiàn'],"['внешняя сторона, поверхность; внешний, поверхностный']"
['表明'],['biǎomíng'],"['выражать, изъявлять; показывать, демонстрировать']"
['表现'],['biǎoxiàn'],"['показывать, выражать, демонстрировать; выражение, проявление, демонстрация, выступление']"
['表演'],['biǎoyǎn'],"['выступать, играть, выступление, представление']"
['并'],['bìng'],"['парно, параллельно; рядом, вместе; наравне, голова в голову']"
['并且'],['bìngqiě'],"['к тому же, вместе с тем, а также']"
['播出'],['bōchū'],"['вещать, передавать телевизионную программу']"
['播放'],['bōfàng'],"['проиграть, воспроизвести; передавать, транслировать']"
['不必'],['búbì'],"['не надо,не ужно не стоит, не обязательно']"
['不断'],['búduàn'],['непрерывный; беспрерывно']
['不论'],['búlùn'],"['всё равно (кто, что, как, какой), какой бы ни..., что бы ни…, как бы ни…, вне зависимости от, неважно…']"
['补'],['bǔ'],"['латать, чинить; добавлять, восполнять; укреплять']"
['补充'],['bǔchōng'],['пополнять; комплектовать; доукомплектовать; дополнять; дополнительный; дополнение']
['不安'],['bùān'],"['беспокойство; тревога; волнение, не по себе']"
['不得不'],['bùdébù'],"['нельзя не…, быть вынужденным, необходимо']"
['不光'],['bùguāng'],['не только']
['不仅'],['bùjǐn'],"['не только, но и']"
['布'],['bù'],['ткань; матерчатый; расставлять; располагать(ся)']
['步'],['bù'],"['шаг, этап, ситуация; шагать']"
['部'],['bù'],"['счетное слово для фильмов, произведений литературы, приборов и транспортных средств']"
['部门'],['bùmén'],['отделение; филиал; деление; разделение; раздел; отдел']
['部长'],['bùzhǎng'],['министр']
['才能'],['cáinéng'],"['дар, талант']"
['采取'],['cǎiqǔ'],"['принимать, предпринимать; применять; прибегать, добывать, разрабатывать']"
['采用'],['cǎiyòng'],"['применять, использовать']"
['彩色'],['cǎisè'],"['много цветов, многоцветность']"
['曾经'],['céngjīng'],"['уже, уже некогда, уже в своё время, прежде, когда-то']"
['产生'],['chǎnshēng'],"['рождать(ся); создавать; производить; образовывать, порождать; рождение, появление']"
['长城'],['chángchéng'],['Великая китайская стена']
['长处'],['chángchù'],"['достоинство, преимущество, сильная сторона']"
['长期'],['chángqī'],['долгосрочный']
['厂'],['chǎng'],"['завод, фабрика']"
['场合'],['chǎnghé'],"['случай, обстоятельства, положение, обстановка, условия']"
['场所'],['chǎngsuǒ'],"['место, пункт; арена']"
['超级'],['chāojí'],['наивысшая степень; высшее качество; экстра']
['朝'],['cháo'],['быть обращённым к; в; к; на; династия; императорский дом']
['吵'],['chǎo'],"['шуметь, галдеть; браниться, ссориться; шумный']"
['吵架'],['chǎo jià'],"['перебраниваться; ссориться, ссора, конфликт']"
['衬衫'],['chènshān'],"['рубашка, блузка']"
['衬衣'],['chènyī'],"['рубашка, блузка; белье']"
['称为'],['chēngwéi'],['называться; звать']
['成功'],['chénggōng'],['успех; успешный; завершиться успехом']
['成果'],['chéngguǒ'],"['результат, плоды, успехи, завоевания, достижения']"
['成就'],['chéngjiù'],"['успех, удача, достижение; закончить, достигнуть']"
['成立'],['chénglì'],"['создать, учредить, основать; быть состоятельным (про аргумент)']"
['成熟'],['chéngshú'],"['созревать; зрелый, спелый']"
['成员'],['chéngyuán'],"['член (семьи, организации), личный состав']"
['成长'],['chéngzhǎng'],"['расти, вырастать, формироваться; рост']"
['城'],['chéng'],['город']
['城市'],['chéngshì'],['город']
['程度'],['chéngdù'],"['степень, мера, масштаб; состояние; уровень']"
['持续'],['chíxù'],"['длиться, продолжаться; длительный, последовательный, непрерывный']"
['充满'],['chōngmǎn'],"['наполнить, заполнить; наполниться, преисполниться (чем-либо); насыщенный, полный']"
['重'],['chóng'],['двойной; повторный; вновь; вторично; повторить']
['初'],['chū'],"['начало; начальный, только начавшийся']"
['初'],['chū( chūyī)'],['начальный; начавшийся; первый; первичный']
['初步'],['chūbù'],['первый шаг; начальный; предварительный; элементарный']
['初级'],['chūjí'],"['первая ступень; первая инстанция; первый, первичный']"
['初中'],['chūzhōng'],['средняя ступень школы']
['除了'],['chúle'],['кроме']
['处理'],['chǔlǐ'],['устраивать; разрешать проблемы; разбирать дела; (тех.) обрабатывать; обработка']
['传'],['chuán'],['передавать; сообщать; распространять; пропагандировать; проповедовать']
['传播'],['chuánbō'],"['распространять, насаждать, передавать; распространение']"
['传来'],['chuánlái'],"['доноситься, доходить']"
['传说'],['chuánshuō'],['ходят слухи; говорят; предание; легенда; сказание']
['创新'],['chuàngxīn'],['выступать с новыми идеями; прокладывать новые пути; новаторство; инновации']
['创业'],['chuàngyè'],"['основать предприятие, создать бизнес, положить начало делу, стартап; венчурный']"
['创造'],['chuàngzào'],['создавать; творить; совершать; творчество; созидание']
['创作'],['chuàngzuò'],"['творить, созидать; творчество; произведение; творение']"
['从来'],['cónglái'],"['всегда, никогда (перед отрицанием); издавна, до сих пор']"
['从前'],['cóngqián'],['раньше; в прошлом; прошлое']
['从事'],['cóngshì'],"['заняться; приняться за...; отдаться, посвятить себя']"
['村'],['cūn'],['деревня']
['存'],['cún'],"['быть, существовать, иметься; содержать, храниться']"
['存在'],['cúnzài'],"['существовать, существование, иметься']"
['错误'],['cuòwù'],['ошибка']
['达到'],['dá dào'],"['достигать, добиваться, выполнять, доходить до']"
['打破'],['dǎ pò'],"['ломать, разрушать, избавляться от']"
['打听'],['dǎting'],"['выяснять, разузнавать; справляться, осведомляться о']"
['大概'],['dàgài'],"['вероятно, пожалуй, возможно; приблизительно, в общем; в общих чертах; общий смысл']"
['大使馆'],['dàshǐguǎn'],['посольство']
['大约'],['dàyuē'],"['приблизительно, около, где-то; большей частью, главным образом; пожалуй, по- видимому']"
['大夫'],['dàifu'],"['врач, доктор']"
['代'],['dài'],['период; поколение; династия']
['代表'],['dàibiǎo'],"['представитель; уполномоченный; депутат, делегат; представлять, быть представителем']"
['代表团'],['dàibiǎotuán'],['делегация']
['带动'],['dàidòng'],"['двигать, приводить в движение, придавать импульс']"
['带领'],['dàilǐng'],"['вести, возглавлять, руководить, предводительствовать']"
['单元'],['dānyuán'],['блок; узел; элемент; единичный; подъезд']
['当初'],['dāngchū'],"['вначале, сперва, первоначально, изначально; раньше']"
['当地'],['dāngdì'],['данное место; местный']
['当然'],['dāngrán'],"['конечно, разумеется']"
['当中'],['dāngzhōng'],"['в центре, среди']"
['刀'],['dāo'],['нож']
['导演'],['dǎoyǎn'],['режиссировать; режиссёр']
['到达'],['dàodá'],"['дойти, доехать до; достичь, прибыть']"
['到底'],['dàodǐ'],['до конца; полностью; в конце концов;']
['得分'],['défēn'],['выиграть очко; набрать очки; счет']
['等待'],['děngdài'],"['ждать, ожидать']"
['底下'],['dǐxia'],"['низ, внизу, под']"
['地区'],['dìqū'],"['район, районный, региональный']"
['电视剧'],['diànshìjù'],"['сериал, телевизионная пьеса']"
['电视台'],['diànshìtái'],['телевизионная станция']
['电台'],['diàntái'],['радиостанция']
['电子邮件'],['diànzǐ yóujiàn'],"['e-mail, электронное письмо']"
['调'],['diào'],"['звучать, петь, играть; переводить, перемещать; расследовать; мелодия, мотив; тональность; акцент; мнение; тон, интонация']"
['调查'],['diàochá'],"['исследовать, расследовать; исследование, расследование, опрос']"
['订'],['dìng'],"['бронировать, заказывать, подписываться на']"
['定期'],['dìngqī'],['назначить; периодический; регулярный; срочный']
['东部'],['dōngbù'],['восточная часть']
['动力'],['dònglì'],"['тяга, мощность; движущая сила, толчок']"
['动人'],['dòngrén'],"['трогательный, волнующий, впечатляющий']"
['读者'],['dúzhě'],['читатель']
['短处'],['duǎnchù'],"['недостаток, изъян, слабая сторона, минус']"
['短裤'],['duǎnkù'],['шорты']
['短期'],['duǎnqī'],['короткий срок']
['断'],['duàn'],['перерезать; разорвать(ся); переломить(ся); прервать; приостановить; прекратить']
['队员'],['duìyuán'],['член команды']
['对待'],['duìdài'],"['относиться к, подходить к; обращаться с ; подход к; реагировать на']"
['对方'],['duìfāng'],"['противная сторона; другая сторона, пара; партнёр; противоположная сторона; напротив']"
['对手'],['duìshǒu'],"['соперник, противник']"
['对象'],['duìxiàng'],"['объект, предмет; возлюбленный, возлюбленная']"
['顿'],['dùn'],['сч. слово для приёмов пищи; раз; сделать паузу; внезапно']
['发表'],['fābiǎo'],['опубликовать; напечатать; высказать; изложить']
['发出'],['fāchū'],"['испускать, издавать, рассылать']"
['发达'],['fādá'],"['высокоразвитый;высокое развитие; достигнуть высокой степени развития, развиться']"
['发动'],['fādòng'],['начать; развязать; поднять; мобилизовать); привести в движение; запустить']
['发明'],['fāmíng'],['изобретать; изобретение; открытие']
['发生'],['fāshēng'],"['возникать, появляться, происходить; случаться']"
['发送'],['fāsòng'],"['передавать, отправлять, рассылать']"
['发言'],['fāyán'],['выступать; произносить речь; высказываться; выступление']
['发展'],['fāzhǎn'],['развивать(-ся); расширяться; развитие; прогресс']
['反对'],['fǎnduì'],"['противостоять, быть в оппозиции; против; возражение, оппозиция']"
['反复'],['fǎnfù'],"['повторяющийся, многократный; повторный; повторять(-ся)']"
['反应'],['fǎnyìng'],"['реагировать, отзываться, откликаться; отклик, отзыв, реакция']"
['反正'],['fǎnzhèng'],['так или иначе; всё равно; передняя и задняя сторона']
['范围'],['fànwéi'],"['объем; пределы; степень; мера; размер; лимит, диапазон; область; сфера; зона; граница; прострнаство; обощать']"
['方式'],['fāngshì'],"['образец; образ; модель; метод, способ; приём']"
['防'],['fáng'],"['предотвращать; защищать; защита; загораживать, мешать']"
['防止'],['fángzhǐ'],['предотвращать; препятствовать; устранять; не допускать; уберегать от']
['房东'],['fángdōng'],"['домохозяин, домовладелец']"
['房屋'],['fángwū'],"['постройка, здание; дом; комната; квартира']"
['房租'],['fángzū'],['арендная плата']
['访问'],['fǎngwèn'],"['визит, поездка, посещение; нанести визит, посетить; навестить']"
['放到'],['fàngdào'],"['класть в, помещать в']"
['飞行'],['fēixíng'],['летать']
['费'],['fèi'],"['плата, расходы, издержки; взносы']"
['费用'],['fèiyòng'],"['затраты, расходы']"
['分别'],['fēnbié'],"['отличие; разница; различать; отличать; в отдельности, по отдельности; расстаться; расставание']"
['分配'],['fēnpèi'],"['распределять, делить; распределение; распределительный']"
['分组'],['fēnzǔ'],"['делить на группы, группировать']"
['丰富'],['fēngfù'],"['богатый, обильный, изобильный; процветающий']"
['风险'],['fēngxiǎn'],"['риск, опасность, угроза']"
['否定'],['fǒudìng'],"['отрицать, отвергать; отрицание; отрицательный']"
['否认'],['fǒurèn'],"['не признавать; отрицать; опровержение, отрицание']"
['服装'],['fúzhuāng'],['одежда; наряд; костюм; обмундирование']
['福'],['fú'],"['счастье, удача']"
['父母'],['fùmǔ'],['родители']
['父亲'],['fùqīn'],['отец']
['付'],['fù'],['платить']
['负责'],['fùzé'],"['отвечать за (что-либо); нести ответственность за (что-либо), ответственный']"
['复印'],['fùyìn'],"['копировать (напр. документ), отксерить']"
['复杂'],['fùzá'],['сложный; составной; комплексный']
['富'],['fù'],['богатый']
['改进'],['gǎijìn'],['двигать вперёд; реорганизовывать; улучшать; модернизировать']
['改造'],['gǎizào'],"['преобразовывать, перестраивать; преобразование, перестройка']"
['概念'],['gàiniàn'],"['концепция, идея']"
['赶'],['gǎn'],"['догонять; гнаться; торопиться; спешить; спешно; к тому времени, как; когда']"
['赶到'],['gǎndào'],"['настичь, догнать; поспеть; прибыть, добраться; торопить']"
['赶紧'],['gǎnjǐn'],"['срочно, немедленно, безотлагательно, спешно']"
['赶快'],['gǎnkuài'],['немедленно; сразу']
['敢'],['gǎn'],['сметь; осмелиться; мочь']
['感冒'],['gǎnmào'],"['простудиться, простуда']"
['感情'],['gǎnqíng'],['чувство; эмоция']
['感受'],['gǎnshòu'],['чувствовать; ощущать; восприятие; чувство; впечатление; опыт']
['干吗'],['gànmá'],"['почему, зачем, для чего']"
['高速'],['gāosù'],['высокоскоростной']
['高速公路'],['gāosù gōnglù'],"['скоростное шоссе, скоростная дорога, автобан']"
['告别'],['gào bié'],"['прощаться, откланиваться; расставаться']"
['歌迷'],['gēmí'],"['фанат, поклонник пения или певца']"
['歌声'],['gēshēng'],"['поющий голос, звуки песни']"
['歌手'],['gēshǒu'],"['певец, певица']"
['个人'],['gèrén'],['отдельный человек; личность; индивидуум; сам; лично; личный']
['个性'],['gèxìng'],"['индивидуальность, личность']"
['各'],['gè'],"['каждый, всякий']"
['各地'],['gèdì'],"['все места, все регионы']"
['各位'],['gèwèi'],"['каждый, все']"
['各种'],['gèzhǒng'],['всех видов']
['各自'],['gèzì'],['каждый сам; каждый в отдельности']
['根本'],['gēnběn'],['фундаментальный; базовый; корень; (с последующим отрицанием) совершенно (не); вовсе (не)']
['更加'],['gèngjiā'],"['еще более, все больше']"
['工厂'],['gōngchǎng'],['завод; фабрика; мастерская']
['工程师'],['gōngchéngshī'],['инженер']
['工夫'],['gōngfu'],"['время, рабочее время; свободное время, досуг; опыт, знания']"
['工具'],['gōngjù'],['инструмент; орудие; средство; способ']
['工业'],['gōngyè'],"['промышленность; промышленный, индустриальный; технический']"
['工资'],['gōngzī'],['заработная плата']
['公布'],['gōngbù'],"['опубликовать, обнародовать, объявить']"
['公共'],['gōnggòng'],"['общественный, публичный']"
['公开'],['gōngkāi'],"['рассекретить, предать гласности']"
['公民'],['gōngmín'],['гражданин']
['公务员'],['gōngwùyuán'],"['государственный служащий, должностное лицо']"
['功夫'],['gōngfu'],"['кунг фу; время; умение, мастерство, навык']"
['功课'],['gōngkè'],"['домашнее задание, уроки, школьные занятия']"
['功能'],['gōngnéng'],"['функция; назначение, применение, способность; функциональный']"
['共同'],['gòngtóng'],"['совместный, общий, совокупный; единый']"
['共有'],['gòngyǒu'],['иметь в общей сложности; в целом']
['姑娘'],['gūniang'],"['девушка, барышня, дочь; дочка (обращение)']"
['古'],['gǔ'],"['древний, старинный; простой, без прикрас; древности']"
['古代'],['gǔdài'],"['древность, античность, старые времена; в древние евремя; древний']"
['故乡'],['gùxiāng'],['родные места; родина']
['挂'],['guà'],"['вешать; вывешивать; висеть; вешать (трубку), отсоединяться; регистрироваться']"
['关系'],['guānxi'],"['отношения, связь, блат']"
['关注'],['guānzhù'],"['проявлять интерес, уделять пристальное внимание; подписываться (напр., на канал в YouTube); интерес, внимание']"
['观察'],['guānchá'],"['наблюдать за; смотреть за; обозревать; наблюдательный, подзорный, смотровой; наблюдение']"
['观看'],['guānkàn'],"['смотреть, наблюдать']"
['观念'],['guānniàn'],"['идея, взгляд; концепция; понимание; представление']"
['观众'],['guānzhòng'],"['зрители, публика, аудитория; посетители']"
['管'],['guǎn'],"['управлять, руководить; отвечать за; воспитывать, поучать; вмешиваться; гарантировать; независимо от; у']"
['管理'],['guǎnlǐ'],['контролировать; управление; управлять']
['光'],['guāng'],"['свет; сияние; дочиста, подчистую; голый; только; лишь']"
['光明'],['guāngmíng'],['блеск; слава; свет; светлый; блестящий']
['广播'],['guǎngbō'],"['широковещание, радиовещание, вещание, передача по радио; ырадиовещательная передача']"
['广大'],['guǎngdà'],"['широкий, обширный, просторный, многочисленный']"
['规定'],['guīdìng'],"['определять, устанавливать, давать установку; правило, закон, установление, регламент; определённый, установленный']"
['规范'],['guīfàn'],['норма; стандарт; нормативный']
['国内'],['guónèi'],"['внутренняя территория страны, внутри страны; внутренний']"
['国庆'],['guóqìng'],['национальный праздник']
['果然'],['guǒrán'],"['действительно, в самом деле; и впрямь']"
['果汁'],['guǒzhī'],['фруктовый сок']
['过程'],['guòchéng'],['процесс; ход']
['过去'],['guòqù'],"['прошлое, история, былые времена']"
['哈哈'],['hāhā'],['ха-ха']
['海关'],['hǎiguān'],['таможня; таможенный']
['害怕'],['hài pà'],['бояться']
['行'],['háng'],"['ряд, шеренга; вереница; строй; строка (также счётное слово); фирма, торговый дом']"
['好好'],['hǎohǎo'],"['хороший; хорошенько, как следует']"
['好奇'],['hàoqí'],"['любопытствовать; любопытный, любознательный']"
['合'],['hé'],"['закрывать; подходить, соответствовать; соединять, объединять; складываться в, равняться; весь, целый; (в древних романах) схватка, сражение, битва']"
['合法'],['héfǎ'],['законный; легальный']
['合格'],['hégé'],['соответствовать стандарту; отвечать требованиям']
['合理'],['hélǐ'],['справедливый; разумный; рациональный; законный; логичный']
['合作'],['hézuò'],"['сотрудничать, работать вместе; сотрудничество; кооперация; совместный']"
['和平'],['hépíng'],['мир; мирный']
['红茶'],['hóngchá'],"['красный чай (по китайской классификации), черный чай ( по европейском классификации)']"
['红酒'],['hóngjiǔ'],['красное вино']
['后果'],['hòuguǒ'],"['последствия, результаты']"
['后面'],['hòumiàn'],"['сзади, за, далее']"
['后年'],['hòunián'],"['год, следующий за будущим годом']"
['互联网'],['hùliánwǎng'],['Интернет']
['互相'],['hùxiāng'],"['друг друга; взаимный; взаимно, обоюдно, взаимо']"
['划船'],['huáchuán'],"['грести веслами, кататься на лодке']"
['华人'],['huárén'],"['китаец, этнический китаец']"
['化'],['huà'],"['превращаться, изменяться (к лучшему); развиваться; обновляться; перевариваться (о пище); усваиваться (о знаниях)']"
['话剧'],['huàjù'],"['драматический спектакль, пьеса']"
['话题'],['huàtí'],['тема разговора; тема речи']
['欢乐'],['huānlè'],"['радость, веселье; веселиться, радоваться']"
['环'],['huán'],"['кольцо, круг, петля; кольцо мишени; звено, часть целого; окружать, опоясывать']"
['环保'],['huánbǎo'],['защита окружающей среды; направленный на защиту окружающей среды']
['环境'],['huánjìng'],"['окружающая среда, обстановка; положение; окружение']"
['会议'],['huìyì'],"['конференция; заседание, совещание']"
['会员'],['huìyuán'],['член (союза или общества)']
['活'],['huó'],['жить; выживать; живой']
['火'],['huǒ'],['огонь']
['机器'],['jīqì'],['машина; механизм']
['积极'],['jījí'],['активный; активно; положительный; позитивный']
['基本'],['jīběn'],['основной; фундаментальный; элементарный']
['基本上'],['jīběnshang'],"['в основном, в целом']"
['基础'],['jīchǔ'],"['основание, базис, основа, фундамент; основной; фундаментальный']"
['及时'],['jíshí'],['вовремя; своевременно']
['…极了'],['… jíle'],"['очень, крайне,в высшей степени, чрезвычайно, весьма, исключительно, совершенно (послелог)']"
['集体'],['jítǐ'],"['коллектив, группа; коллективный']"
['集中'],['jízhōng'],"['собирать, накапливать, концентрировать']"
['计算'],['jìsuàn'],['рассчитывать; вычислять; подсчитывать; расчёт']
['记录'],['jìlù'],['запись; протокол ; записывать; регистрировать']
['记者'],['jìzhě'],"['журналист, корреспондент, репортёр']"
['纪录'],['jìlù'],['рекорд; запись (документ); протокол']
['纪念'],['jìniàn'],['отмечать (дату); чтить (память); юбилейный; памятный']
['技术'],['jìshù'],"['техника; специальные знания, искусство, мастерство; технология; технический']"
['继续'],['jìxù'],['продолжать(ся); продолжение']
['加工'],['jiā gōng'],['обрабатывать; перерабатывать; обработка; переработка']
['加快'],['jiākuài'],['ускорять']
['加强'],['jiāqiáng'],"['усиливать, улучшать, укреплять']"
['家具'],['jiājù'],['мебель']
['家属'],['jiāshǔ'],"['члены семьи, домочадцы, домашние']"
['家乡'],['jiāxiāng'],['родной край; родина']
['价格'],['jiàgé'],['цена']
['价钱'],['jiàqián'],['цена']
['价值'],['jiàzhí'],['величина; значение; стоимость; ценность']
['架'],['jià'],"['драка, ссора; счетное слово для самолетов, машин и пр.']"
['坚持'],['jiānchí'],['твёрдо придерживаться; отстаивать; проявлять упорство']
['坚决'],['jiānjué'],['решительный; непреклонный; решительно']
['坚强'],['jiānqiáng'],"['крепкий, сильный; твёрдый, упорный']"
['简单'],['jiǎndān'],['простой']
['简直'],['jiǎnzhí'],"['попросту, прямо-таки, просто-напросто, прямо говоря, без обиняков']"
['建'],['jiàn'],"['устанавливать, строить, основывать']"
['建成'],['jiànchéng'],"['основывать, строить']"
['建立'],['jiànlì'],['создать; основать']
['建设'],['jiànshè'],"['строить, созидать; создание, созидание; конструктивный']"
['建议'],['jiànyì'],['предлагать; вносить предложение; рекомендовать; предложение']
['将近'],['jiāngjìn'],"['приближаться; приблизительно; почти, без малого; близиться, скоро уже']"
['将来'],['jiānglái'],['будущий; в будущем; будущее']
['交费'],['jiāofèi'],"['платить, вносить плату']"
['交警'],['jiāojǐng'],['дорожная полиция']
['交流'],['jiāoliú'],"['связь, контакт; общение, коммуникация; обмен, обмениваться']"
['交往'],['jiāowǎng'],"['общаться, поддерживать знакомство, поддерживать связь']"
['交易'],['jiāoyì'],"['меняться, торговать; совершать сделку; обмен, торговля; сделка']"
['叫'],['jiào'],['используется в пассивном залоге и указывает на субъект действия']
['较'],['jiào'],"['сравнительно, относительно; чем, по сравнению с']"
['教材'],['jiàocái'],['учебный материал; учебное пособие']
['教练'],['jiàoliàn'],"['тренер, наставник; инструктор']"
['结实'],['jiēshi'],['прочный; крепкий']
['接待'],['jiēdài'],"['принимать, прием (гостей, посетителей)']"
['接近'],['jiējìn'],"['прилегать; близлежащий, близкий, соседний']"
['节约'],['jiéyuē'],['экономить; беречь; экономия; бережливость']
['结合'],['jiéhé'],['сочетать; соединять; связывать; комбинация; связь; соединение']
['结婚'],['jiéhūn'],"['вступить в брак, жениться']"
['结束'],['jiéshù'],"['закончить[ся]; покончить с ; финал, конец; заключить, резюмировать']"
['解决'],['jiějué'],"['решать (напр. проблему), уладить']"
['解开'],['jiěkāi'],"['развязывать, расстегивать, расшнуровывать; разгадывать']"
['金'],['jīn'],"['золото; золотой; деньги; ударные музыкальные инструменты; драгоценный, замечательный']"
['金牌'],['jīnpái'],['золотая медаль']
['仅'],['jǐn'],"['просто, только']"
['仅仅'],['jǐnjǐn'],"['всего лишь, только']"
['尽量'],['jǐnliàng'],['насколько только возможно; по возможности; максимально']
['紧'],['jǐn'],"['сильный; сильно (также модификатор результативных глаголов; тугой, плотный, тесный; туго, вплотную']"
['紧急'],['jǐnjí'],"['срочный, экстренный; чрезвычайный']"
['紧张'],['jǐnzhāng'],"['напряжение; напряженный, волноваться, волнение']"
['进步'],['jìnbù'],"['движение вперёд; прогресс; прогрессивный； преуспевать, успешно развиваться, прогрессировать, совершенствоваться']"
['进一步'],['jìnyíbù'],['продвигаться на шаг вперед']
['进展'],['jìnzhǎn'],"['развиваться, прогрессировать; сдвиг, развитие; прогресс']"
['近期'],['jìnqī'],"['ближайшее будущее, ближайшее время']"
['京剧'],['jīngjù'],"['пекинская опера, пекинская музыкальная драмa']"
['经济'],['jīngjì'],['экономика; экономический']
['经历'],['jīnglì'],"['опыт, жизненный опыт; проходить, переживать, испытывать']"
['经验'],['jīngyàn'],"['опыт; опытный; переживать, испытывать']"
['经营'],['jīngyíng'],"['хозяйствовать; вести хозяйство; управлять (напр., предприятием); менеджмент']"
['精彩'],['jīngcǎi'],"['яркий, блестящий; впечатляющий, эффектный; замечательный']"
['精神'],['jīngshén'],['дух; духовный; моральный; нравственный']
['精神'],['jīngshen'],['энергия; дух; силы; энергичный; бодрый']
['景色'],['jǐngsè'],"['пейзаж, вид; картина; ландшафт']"
['警察'],['jǐngchá'],['полиция; полицейский']
['静'],['jìng'],"['тихий, бесшумный; неподвижный; успокаиваться, замолкать']"
['久'],['jiǔ'],"['длительное время, долго']"
['旧'],['jiù'],"['старый, устаревший']"
['救'],['jiù'],['спасать; выручать; помогать']
['就是'],['jiùshì'],"['правильно, точно']"
['就业'],['jiù yè'],"['устроиться на работу, приступить к работе, трудоустроиться']"
['举办'],['jǔbàn'],"['организовать, устроить; положить начало; поставить']"
['具体'],['jùtǐ'],"['конкретный, определённый; реальный']"
['具有'],['jùyǒu'],"['обладать, иметь; содержать, вмещать; быть преисполненным']"
['剧场'],['jùchǎng'],['театр']
['据说'],['jùshuō'],"['как говорят; передают, что; по чьим- либо словам']"
['决定'],['juédìng'],"['решать, решение, принимать решение']"
['决赛'],['juésài'],"['финальное состязание, финал']"
['决心'],['juéxīn'],"['решительность, решимость; решительный; решиться']"
['绝对'],['juéduì'],['абсолютный; полный; безусловный']
['咖啡'],['kāfēi'],['кофе']
['开发'],['kāifā'],['разрабатывать; осваивать; развитие; рост']
['开放'],['kāifàng'],"['быть открытым для внешнего мира; открывать доступ; раскрыться, распуститься (о растениях)']"
['开始'],['kāishǐ'],"['начинать, начало']"
['开业'],['kāi yè'],"['начинать бизнес, открываться']"
['开展'],['kāizhǎn'],"['развиваться; прогрессировать; разворачивать, развивать; развитой; передовой']"
['看起来'],['kànqǐlai'],"['выглядеть, казаться; кажется, что; похоже, что']"
['看上去'],['kàn shàngqù'],"['кажется; похоже, что']"
