Слово,Пиньинь,Перевод слова
['尺'],['chǐ'],['линейка; инструмент в форме линейки; инструмент для создания чертежей; традиционная единица длины (равна 1/3 метра)']
['尺寸'],['chǐcùn'],['размер']
['尺子'],['chǐzi'],['мерная (счётная) линейка']
['冲'],['chōng'],['размывать; смывать; промывать; полоскать; ринуться вперёд; атаковать']
['充电'],['chōng diàn'],"['заряжать (напр., батарею, аккумулятор); восстанавливать силы, отдыхать']"
['充电器'],['chōngdiànqì'],['зарядное устройство; адаптер питания']
['充分'],['chōngfèn'],"['полный, достаточный, полноценный; в полной мере, полностью']"
['虫子'],['chóngzi'],['насекомое; червь; жук']
['抽'],['chōu'],"['вытаскивать, вытягивать; брать часть; вдыхать']"
['抽奖'],['chōu jiǎng'],['разыгрывать в лотерее']
['抽烟'],['chōuyān'],['курить']
['出口'],['chū kǒu'],['экспорт; экспортировать; сказать; произнести; выход']
['出色'],['chūsè'],"['выделяться; проявлять себя; незаурядный, выдающийся']"
['出售'],['chūshòu'],"['продавать, сбывать с рук; приложить руку (избить); показать талант; проявить себя; браться за дело']"
['出席'],['chūxí'],['присутствовать (напр. на собрании); участвовать в работе совещания']
['处于'],['chǔyú'],"['находиться в, пребывать в к.-либо состоянии']"
['处'],['chù'],"['место, пункт; местоположение, место расположения, жилище; счетное слово домов и зданий']"
['穿上'],['chuānshang'],['надевать (оеджду)']
['传统'],['chuántǒng'],"['устой, традиция, обычай; устоявшийся, традиционный']"
['窗户'],['chuānghu'],['окно']
['窗台'],['chuāngtái'],['подоконник']
['窗子'],['chuāngzi'],['(разг.) окно']
['春季'],['chūnjì'],['весенний сезон; весна; весенний']
['纯'],['chún'],"['чистый, без примеси; умелый']"
['纯净水'],['chúnjìngshuǐ'],['дистиллированная вода']
['词汇'],['cíhuì'],['словарный состав; лексика; глоссарий']
['此'],['cǐ'],"['этот, эта, это, эти']"
['此外'],['cǐwài'],"['кроме того, помимо этого, наряду с этим']"
['次'],['cì'],"['второстепенный, второсортный, уступающий, плохой']"
['刺'],['cì'],['колоть; втыкать; пронзать; колючка; шип; покушаться на убийство']
['刺激'],['cìjī'],"['раздражать, возбуждать, стимулировать; раздражение; волновать; потрясать']"
['从此'],['cóngcǐ'],['с этих пор; с этого раза (места)']
['粗'],['cū'],['грубый; широкий; толстый; небрежный']
['粗心'],['cūxīn'],"['небрежный, невнимательный; небрежно; небрежность']"
['促进'],['cùjìn'],"['стимулировать; ускорять; способствовать, ускорять, стимулирование']"
['促使'],['cùshǐ'],"['побуждать, способствовать, стимулировать']"
['促销'],['cùxiāo'],['стимулировать продажи']
['措施'],['cuòshī'],"['меры, мероприятия']"
['打'],['dá'],"['счетное слово, обозначающее дюжину']"
['答案'],['dáàn'],"['ответ, решение']"
['打败'],['dǎbài'],"['побеждать, одерживать верх над']"
['打雷'],['dǎ léi'],['греметь']
['打扫'],['dǎsǎo'],"['убираться, подметать']"
['打折'],['dǎ zhé'],['сделать скидку']
['打针'],['dǎ zhēn'],['сделать инъекцию']
['大巴'],['dàbā'],['большой автобус']
['大多'],['dàduō'],"['по большей части, в большинстве своем, в основном']"
['大方'],['dàfang'],"['щедрый, не мелочный; широкий (о натуре); отзывчивый']"
['大哥'],['dàgē'],"['старший брат, старший из братьев']"
['大规模'],['dà guīmó'],['большой/широкий масштаб']
['大会'],['dàhuì'],"['общее собрание, конференция']"
['大姐'],['dàjiě'],['старшая сестра; вежливое обращение к женщине на севере Китая']
['大楼'],['dàlóu'],['большое здание']
['大陆'],['dàlù'],"['материковый Китай; материк, континент']"
['大妈'],['dàmā'],"['жена старшего брата отца, бабушка, форма вежливого обращения к пожилой женщине']"
['大型'],['dàxíng'],"['крупный, большой; крупногабаритный; крупномасштабный']"
['大爷'],['dàye'],"['дядя (старший брат отца), тесть; (вежл.) Вы; господин (к старшему); хозяин']"
['大众'],['dàzhòng'],"['широкие массы, народ, публика']"
['代替'],['dàitì'],"['заменять; замена; вместо, за']"
['待遇'],['dàiyù'],['обращение; обхождение; обращаться; обходиться с кем-либо; права; льготы']
['袋'],['dài'],"['мешок, пакет']"
['戴'],['dài'],"['носить; надевать (головной убор, перчатки, украшения и т.п.); почитать; ылюбить']"
['担保'],['dānbǎo'],"['ручаться, гарантировать; поручительство, гарантия, обеспечение; гарантийный']"
['担任'],['dānrèn'],"['исполнять (обязанности), брать на себя (ответственность); отвечать за']"
['担心'],['dān xīn'],"['волноваться, переживать']"
['单'],['dān'],"['список, перечень, счет, квитанция, листок, бумага, записка; один, одиночный, нечетный, однослойный; только, единственно']"
['单纯'],['dānchún'],['простой; чистый; наивный']
['单调'],['dāndiào'],['монотонный; однообразный; пресный; скучный']
['单独'],['dāndú'],"['один; отдельный, одиночный; изолированный, сепаратный; единоличный; самостоятельный']"
['淡'],['dàn'],['жидкий; слабый; редкий; скудный; пресный']
['导游'],['dǎoyóu'],['вести экскурсию; гид; путеводитель']
['导致'],['dǎozhì'],"['привести к..., вызвать к.-либо последствия']"
['倒闭'],['dǎobì'],['обанкротиться; банкротство; крах']
['倒车'],['dǎo chē'],['пересаживаться; пересадка']
['倒车'],['dào chē'],['идти задним ходом; задний ход']
['得意'],['déyì'],['довольный; самодовольный']
['得'],['děi'],"['быть должным, иметь необходимость; мод. глагол, выражает долженствование или необходимость, употребляется в утвердительных предложениях); требовать, нуждаться']"
['灯光'],['dēngguāng'],"['свет, освещение']"
['登'],['dēng'],"['подниматься, взбираться, ступать на; (о зерне) созревать, спеть']"
['登记'],['dēng jì'],['регистрироваться; регистрация; регистрационный; регистровый; брать на учет']
['登录'],['dēnglù'],['регистрация; регистрировать(ся); залогиниться']
['登山'],['dēng shān'],"['подниматься на гору, заниматься альпинизмом или скалолазанием']"
['的确'],['díquè'],"['действительный, подлинный; фактический; верно, правда, в самом деле']"
['敌人'],['dírén'],"['враг, противник, неприятель']"
['底'],['dǐ'],['дно; низ; нижний; конец']
['地方'],['dìfāng'],"['местный, локальный, территориальный; туземный; провинциальный']"
['地面'],['dìmiàn'],['пол; поверхность земли']
['地位'],['dìwèi'],['положение; место']
['地下'],['dìxià'],"['подземный, под землей; тайный, подпольный, незаконный']"
['地址'],['dìzhǐ'],['адрес']
['典型'],['diǎnxíng'],"['типичный, классический, образцовый, показательный, образец, тип, пример']"
['点名'],['diǎn míng'],"['делать перекличку, называть по имени']"
['电灯'],['diàndēng'],['электрическая лампа']
['电动车'],['diàndòngchē'],"['электромобиль, транспорт с питанием от батареи']"
['电梯'],['diàntī'],"['лифт, эскалатор']"
['电源'],['diànyuán'],"['источник тока, источник питания, источник энергии']"
['顶'],['dǐng'],['вершина; верхушка; макушка; крыша; сч. сл. для головных уборов; нести наголове; подпирать']
['定'],['dìng'],"['быть стабильным или спокойным; фиксировать; решать, определять; заказывать; непременно, обязательно']"
['冬季'],['dōngjì'],"['зимний сезон, зима, зимний период, зимнее время']"
['动画片'],['dònghuàpiàn'],['мультфильм']
['动摇'],['dòngyáo'],"['шатать(ся), колебать(ся), быть в нерешительности']"
['豆腐'],['dòufu'],"['соевый творог, тофу']"
['独立'],['dúlì'],['отдельный; независимый; самостоятельный']
['独特'],['dútè'],"['особый, своеобразный, свой, самобытный, исключительный, специфический']"
['独自'],['dúzì'],"['сам, один, в одиночку']"
['堵'],['dǔ'],"['блокировать, преграждать путь']"
['堵车'],['dǔ chē'],"['автомобильная пробка, затор']"
['肚子'],['dùzi'],"['живот; перен. сердце, душа']"
['度过'],['dùguò'],"['провести, прожить, пережить']"
['锻炼'],['duànliàn'],"['закаляться, тренироваться, заниматься физкультурой']"
['对比'],['duìbǐ'],"['сравнивать, сопоставлять; сравнение, соотношение, пропорция']"
['对付'],['duìfu'],"['справиться с, осилить; реагировать на; принимать меры; противостоять']"
['对于'],['duìyú'],"['по отношению к...; относительно; о, об']"
['多次'],['duō cì'],['много раз; неоднократно']
['多年'],['duō nián'],['много лет']
['多样'],['duōyàng'],"['различный, разнообразный']"
['多种'],['duōzhǒng'],['много видов; многочисленный; разнообразный']
['恶心'],['ěxin'],"['тошнота, тошнить; тошнотворный']"
['儿童'],['értóng'],"['подросток, ребёнок; детский']"
['而'],['ér'],"['и; да; к тому же, но, а;']"
['而是'],['ér shì'],"['а, но']"
['耳机'],['ěrjī'],"['наушники, гарнитура']"
['二手'],['èrshǒu'],"['подержанный, с рук']"
['发挥'],['fāhuī'],"['проявить, выявить; (полностью) раскрыть']"
['发票'],['fāpiào'],"['накладная; счёт-фактура; счёт; инвойс, товарный чек, квитанция']"
['发烧'],['fā shāo'],"['жар, иметь высокую температуру']"
['法'],['fǎ'],"['закон, правило; метод, способ, подход']"
['法官'],['fǎguān'],['судья']
['法律'],['fǎlǜ'],['закон; право; правовой; юридический']
['法院'],['fǎyuàn'],"['суд, судебная палата']"
['翻'],['fān'],['опрокидывать(ся); перевёртываться; переводить; перелистывать; листать']
['翻译'],['fānyì'],"['перевод, переводить; переводчик']"
['烦'],['fán'],"['раздражать, надоедать; (вежл.) беспокоить, утруждать; уставший, раздосадованный; беспокойный, раздражительный']"
['反'],['fǎn'],"['наоборот, вместо этого; вверх дном, шиворот-навыворот; противоположный, обратный; противостоять; бунтовать против']"
['反而'],['fǎnér'],"['наоборот, напротив, вопреки этому']"
['反映'],['fǎnyìng'],"['отражать; отражение; воспроизводить, давать в отражённом виде; отображать, доносить, передавать']"
['方'],['fāng'],"['квадрат; квадратный; прямоугольный; кубический; сторона; место; метод, способ']"
['方案'],['fāngàn'],"['метод, способ, план; проект, вариант; законопроект; программа']"
['方针'],['fāngzhēn'],"['курс, направление, ориентация; политическая линия; установка; политика']"
['放松'],['fàngsōng'],"['ослаблять, послаблять; отдыхать, расслабляться']"
['非'],['fēi'],"['в простом предложении: не являться, не быть (кем-л., чем-л.); не есть; это не; анти']"
['肥'],['féi'],"['жирный, толстый; (об одежде) свободный; богатый, плодородный; прибыльный, выгодный']"
['分布'],['fēnbù'],['распределять; располагать; распределение; распределительный; распространяться; распространение']
['分散'],['fēnsàn'],['рассредоточивать(ся); распылять; раздроблять; разобщённый; рассеивать(ся); распылять(ся)']
['分手'],['fēn shǒu'],['расставаться; расходиться; разлука; разрыв деловых связей; развод']
['分为'],['fēnwéi'],['делить(ся) на']
['…分之…'],['… fēn zhī…'],['употребляется для выражения дроби и процентного соотношения']
['纷纷'],['fēnfēn'],['один за другим; во множестве; массами; наперебой; беспрерывно; беспорядочно']
['奋斗'],['fèndòu'],"['борьба; бороться; стараться, пытаться; стремиться, прилагать усилия']"
['风格'],['fēnggé'],"['стиль, жанр, манера; облик']"
['风景'],['fēngjǐng'],"['вид, пейзаж, ландшафт']"
['风俗'],['fēngsú'],"['обычай, привычка; нравы']"
['封闭'],['fēngbì'],"['запечатывать; замыкать, наглухо закрытый; замкнутый']"
['否则'],['fǒuzé'],"['иначе, а то..., если не так, то...; в противном случае...']"
['夫妇'],['fūfù'],['муж и жена; супруги']
['夫妻'],['fūqī'],"['муж и жена, супруги']"
['夫人'],['fūren'],"['госпожа, леди, мадам, миссис; супруга, жена']"
['符号'],['fúhào'],['условный знак; символ']
['符合'],['fúhé'],"['соответствовать, отвечать (чему-либо); совпадать c; совпадение, соответствие']"
['付出'],['fùchū'],"['платить, выплачивать, расходовать, тратить, вкладывать']"
['负担'],['fùdān'],"['нести (напр., ответственность); брать на себя ; бремя; обуза']"
['附近'],['fùjìn'],['поблизости']
['复制'],['fùzhì'],['копировать; дублировать; воспроизводить']
['改善'],['gǎishàn'],"['улучшать, исправлять (от плохого к хорошему)']"
['改正'],['gǎizhèng'],"['исправлять; вносить исправления; поправлять; исправление, поправка']"
['盖'],['gài'],['крышка; покрывать; навес; строить']
['概括'],['gàikuò'],"['резюмировать, обобщать; обобщение; обобщенный, общий']"
['感兴趣'],['gǎnxìngqù'],"['интересоваться, испытывать интерес к ч.-либо']"
['高潮'],['gāocháo'],['прилив; прибой; высокий уровень воды; подъём; кульминация']
['高价'],['gāojià'],['высокая цена']
['高尚'],['gāoshàng'],"['высокий, возвышенный; благородный']"
['高铁'],['gāotiě'],['высокоскоростная железная дорога']
['格外'],['géwài'],"['особенно, исключительно; необычайно; чрезвычайно']"
['隔'],['gé'],"['отделять; находиться на расстоянии от, отстоять во времени от']"
['隔开'],['gékāi'],"['разделять, держать на расстоянии']"
['个别'],['gèbié'],"['отдельный; обособленный, индивидуальный; частный; единичный']"
['个体'],['gètǐ'],['индивид; особь; индивидуальный']
['各个'],['gègè'],"['каждый, всякий, все; отдельно, один за другим']"
['根'],['gēn'],"['корень, основание,счётное слово для длинных предметов']"
['根据'],['gēnjù'],"['согласно...; данные, основания']"
['工程'],['gōngchéng'],"['инженерное дело; проект, работы']"
['公元'],['gōngyuán'],['новая эра; христианская эра; наша эра']
['供应'],['gōngyìng'],"['снабжать, поставлять']"
['共'],['gòng'],"['всего, в итоге; вместе']"
['构成'],['gòuchéng'],"['составить, образовать; создать; состав; структура']"
['构造'],['gòuzào'],"['структура, строение, устройство; строить, сооружать']"
['购买'],['gòumǎi'],"['закупать; покупать; скупать; покупка, купля']"
['购物'],['gòuwù'],"['покупка товаров, шопинг']"
['骨头'],['gǔtou'],['кость; кости ; человеческие качества; характер; натура']
['固定'],['gùdìng'],"['закрепление на месте; фиксация, фиксирование; закреплять, закрепить']"
['瓜'],['guā'],"['дыня, тыква; предмет в форме дыни; парень']"
['怪'],['guài'],"['странный, необычный']"
['关'],['guān'],"['пункт контроля; таможня; критический момент, трудные времена, препятствия']"
['关闭'],['guānbì'],"['закрывать, запирать; выключать']"
['关于'],['guānyú'],"['о..., касательно']"
['官'],['guān'],"['чиновник, официальное лицо; офицер; служащий; мандарин, чин; должность, чин; ранг']"
['官方'],['guānfāng'],['официальный; правительственный; правительство']
['光临'],['guānglín'],"['(вежл.) Ваш визит, Ваше посещение; посетить; удостоить посещением']"
['光盘'],['guāngpán'],"['оптический диск, компакт-диск, CD или DVD - диск; лазерный носитель']"
['逛'],['guàng'],"['прогуливаться, прохаживаться; гулять']"
['归'],['guī'],"['приходить обратно, возвращаться; отдавать обратно, возвращать']"
['规律'],['guīlǜ'],"['закономерность, правило, закон; порядок, регламент']"
['规模'],['guīmó'],['масштаб; размах; размер; масштабный']
['规则'],['guīzé'],['норма; правило; постановление; устав; инструкция']
['果实'],['guǒshí'],"['плод; фрукт; плоды, результат']"
['过分'],['guò fèn'],['сверх меры; чересчур; слишком']
['海水'],['hǎishuǐ'],['морская вода']
['海鲜'],['hǎixiān'],"['морепродукты, морские деликатесы, дары моря']"
['含'],['hán'],"['содержать, охватывать']"
['含量'],['hánliàng'],['содержание']
['含义'],['hányì'],"['содержание, смысл, значение']"
['含有'],['hányǒu'],"['содержать, заключать в себе']"
['寒假'],['hánjià'],"['зимние каникулы (напр. о школе, об университете)']"
['寒冷'],['hánlěng'],['холодный']
['行业'],['hángyè'],['отрасль; ремесло; профессия']
['航班'],['hángbān'],"['рейс, номер рейса']"
['航空'],['hángkōng'],['воздухоплавание; авиация; авиационный; авиа-; аэро']
['毫米'],['háomǐ'],['миллиметр']
['毫升'],['háoshēng'],['миллилитр']
['好友'],['hǎoyǒu'],['хороший друг']
['号码'],['hàomǎ'],"['номер, число, цифра']"
['好'],['hǎo'],"['хорошо, хороший']"
['合同'],['hétong'],"['контракт, соглашение; договор']"
['黑暗'],['hēiàn'],"['темный, коррумпированный, реакционный; темнота']"
['红包'],['hóngbāo'],"['денежный подарок; красный конверт с деньгами, который преподносят в качестве подарка']"
['后头'],['hòutou'],"['зад, позади']"
['厚'],['hòu'],"['толстый (о плоских предметах); глубокий; сильный, крепкий, густой']"
['呼吸'],['hūxī'],['дышать; дыхание']
['忽视'],['hūshì'],['игнорировать; пренебрегать; оставлять без внимания']
['户'],['hù'],"['дверь; семья, хозяйство; статус семьи']"
['护士'],['hùshi'],"['медсестра, медбрат']"
['花'],['huā'],['цветной']
['划'],['huá'],['делать надрез; царапать; чиркать (спичкой); грести']
['划'],['huà'],['разграничить; провести черту']
['怀念'],['huáiniàn'],['вспоминать; скучать; тосковать по к.- либо/ч.-либо']
['怀疑'],['huáiyí'],['сомневаться; сомнение; подозревать; подозрение']
['缓解'],['huǎnjiě'],"['смягчить, ослабить; уладить, разрешить конфликт']"
['黄瓜'],['huángguā'],['огурец']
['黄金'],['huángjīn'],['золото; золотой']
['回复'],['huífù'],['отвечать (на письмо); ответ']
['汇'],['huì'],['переводить (деньги); иностранная валюта']
['汇报'],['huìbào'],['докладывать; рапортовать; сводка; отчёт']
['汇率'],['huìlǜ'],"['обменный, валютный курс']"
['婚礼'],['hūnlǐ'],['свадьба; свадебный обряд; бракосочетание']
['火'],['huǒ'],"['процветающий, популярный; красный']"
['伙'],['huǒ'],"['партнер, товарищ; компания, партнерство; еда, питание; счетное слово для групп людей']"
['伙伴'],['huǒbàn'],['компаньон; товарищ; партнер']
['或许'],['huòxǔ'],['может быть; возможно']
['货'],['huò'],"['товар, продукция; валюта, деньги; (бран.) дурак, болван']"
['获'],['huò'],"['получать, приобретать; ловить, хватать']"
['获得'],['huòdé'],['получить; достигнуть; добиться']
['获奖'],['huòjiǎng'],"['получать приз; призовой, выигрышный']"
['获取'],['huòqǔ'],"['получать, приобретать']"
['几乎'],['jīhū'],"['почти, практически']"
['机构'],['jīgòu'],"['механизм, устройство, аппарат; орган, организация; структура']"
['机遇'],['jīyù'],"['случай, шанс, удобный случай, благоприятная возможность']"
['积累'],['jīlěi'],"['накапливать; накопление (напр., о капитале); аккумулирование']"
['激动'],['jīdòng'],['возбуждать; волновать; волноваться; возбуждаться']
['激烈'],['jīliè'],['острый; бурный; ожесточенный']
['及格'],['jí gé'],"['выдерживать экзамен (испытание), зачет']"
['极'],['jí'],"['крайне, полюс']"
['极其'],['jíqí'],"['чрезвычайно, крайне']"
['即将'],['jíjiāng'],"['в ближайшем будущем, в скором времени; скоро; вот-вот']"
['急忙'],['jímáng'],"['поспешно, торопливо; спешить; торопиться']"
['集合'],['jíhé'],"['соединение; состав, смесь']"
['记载'],['jìzǎi'],['записывать; записки; записи']
['纪律'],['jìlǜ'],['дисциплина']
['技巧'],['jìqiǎo'],['мастерство; искусство; техника; навык']
['系'],['jì'],"['спускать на верёвке, свешивать, подвешивать; вешать; свисать']"
['季'],['jì'],"['сезон, период; четвертый или самый молодой из братьев']"
['季度'],['jìdù'],"['квартал, сезон']"
['季节'],['jìjié'],"['сезон, время года']"
['既'],['jì'],"['уже; и ..., и ...; а также']"
['既然'],['jìrán'],"['раз уже, поскольку, коль скоро, уж коли..., а если уж...']"
['寄'],['jì'],['отправлять; посылать; поручать; вверять']
['加班'],['jiā bān'],['работать сверхурочно; сверхурочная работа']
['加入'],['jiārù'],"['добавлять; вступать в, становиться членом; присоединяться']"
['加油站'],['jiāyóuzhàn'],['заправочная станция']
['家务'],['jiāwù'],['домашние дела; домашнее хозяйство']
['假如'],['jiǎrú'],"['если; если бы; предположим, что']"
['坚固'],['jiāngù'],"['крепкий, прочный; твёрдый; стойкий; укреплять']"
['检测'],['jiǎncè'],"['тест; определять, устанавливать']"
['减'],['jiǎn'],"['уменьшать(ся), сокращать(ся); вычитать, отнимать']"
['减肥'],['jiǎn féi'],['худеть; похудение; снижение веса']
['减少'],['jiǎnshǎo'],"['уменьшать, убавлять, сокращать; редукция']"
['简历'],['jiǎnlì'],"['краткая биография, резюме']"
['健身'],['jiànshēn'],"['гимнастика, фитнес; следить за здоровьем, укреплять здоровье']"
['渐渐'],['jiànjiàn'],"['постепенно, мало-помалу']"
['江'],['jiāng'],['река; речной']
['讲究'],['jiǎngjiu'],"['уделять серьёзное внимание, серьёзно относиться;изысканный, со вкусом']"
['讲座'],['jiǎngzuò'],['курс (цикл) лекций']
['奖'],['jiǎng'],"['награждать; награда, приз']"
['奖金'],['jiǎngjīn'],"['приз, премия, бонус, денежная награда']"
['奖学金'],['jiǎngxuéjīn'],['стипендия']
['降'],['jiàng'],"['опускаться, снижаться; падать; выпадать (об осадках); спускаться (на землю); рождаться']"
['降低'],['jiàngdī'],['снизить(ся); понизить(ся); снижение; понижение']
['降价'],['jiàng jià'],['снижать цену']
['降落'],['jiàngluò'],['спускаться; падать; совершить посадку; приземлиться; посадка']
['降温'],['jiàng wēn'],"['понижать температуру, охлаждать; (о температуре) падать; обр. охлаждаться, снижаться, спадать']"
['交换'],['jiāohuàn'],['обменивать(ся); обмен; чередование; перестановка; коммутация коммутирование']
['交际'],['jiāojì'],"['общаться; принимать (друзей); устраивать приёмы, вести светскую жизнь']"
['教授'],['jiàoshòu'],['профессор; преподавать; обучать']
['教训'],['jiàoxun'],"['поучать, читать нотации; учить уму- разуму; урок; наука']"
