character,pinyin,definitions
病情,bìngqíng,"состояние болезни, состояние больного"
拨打,bōdǎ,"набирать (номер), звонить по телефону"
波动,bōdòng,"колебаться, быть неустойчивым"
波浪,bōlàng,волна
播,bō,"передавать, вещать"
不便,búbiàn,неудобство; неудобный
不见,bújiàn,"не встречать, не видеть, исчезать"
不料,búliào,"неожиданно, вопреки ожиданиям, непредвиденно"
不再,búzài,больше не
不至于,búzhìyú,"не настолько, не до такой степени, не дойдет до"
补考,bǔkǎo,пересдача; пересдавать экзамен
补课,bǔ kè,наверстывать пропущенный урок
补习,bǔxí,брать дополнительные уроки после учебы или работы
补助,bǔzhù,"помогать; материальная помощь, субсидия; вспомогательный"
捕,bǔ,"ловить, хватать, арестовывать"
不成,bùchéng,"не выйдет, не следует, нельзя"
不禁,bùjīn,невольно; не удержаться от чего-либо
不仅仅,bù jǐnjǐn,не только
不通,bùtōng,"быть перекрытым, быть заблокированным"
不怎么,bùzěnme,"не очень-то, не так уж, не особенно"
不怎么样,bùzěnmeyàng,"не очень, не особенно, так себе"
不值,bùzhí,"не стоить, не заслуживать"
布满,bùmǎn,"наводнять; заполнять; широко распространяться (по); заполняться, заволакиваться"
部队,bùduì,"войска, формирования, подразделения, воинская (войсковая) часть"
采纳,cǎinà,"принимать (предложение, условие, закон, резолюцию); одобрять; признавать; соглашаться"
踩,cǎi,наступать ногой на; топтать; топтаться
参赛,cānsài,принимать участие в соревновании
参展,cānzhǎn,участвовать в выставке
餐,cān,"еда, пища; есть, кушать"
残疾,cánjí,"увечье, инвалидность; инвалид; физический недостаток"
残疾人,cánjírén,инвалид; калека
残酷,cánkù,"жестокий, свирепый; беспощадный; жестокость"
惨,cǎn,несчастный; жестокий
仓库,cāngkù,"склад, амбар"
藏,cáng,"собирать, хранить; прятать"
操纵,cāozòng,"управлять; управление; заправлять, держать в руках, контролировать"
厕所,cèsuǒ,туалет
侧,cè,"сторона, бок; крениться набок, склоняться"
测定,cèdìng,"измерять; отмечать, вычислить; определить"
策划,cèhuà,"намечать, планировать; предначертание, проект"
策略,cèlüè,"стратегия, планы; тактика; комбинация; маневр; тактический"
层面,céngmiàn,"сторона, аспект, сфера, плоскость"
差异,chāyì,"разница, различие, расхождение, несоответствие"
查出,cháchū,"узнать, обнаружить"
查看,chákàn,"проверять, осматривать, исследовать"
拆迁,chāiqiān,переезд в новый дом после сноса старого
产量,chǎnliàng,"производство, выход продукции"
昌盛,chāngshèng,процветающий; расцвет; процветать
长短,chángduǎn,"длина; беда, несчастный случай; хорошее и плохое, достоинства и недостатки"
长假,chángjià,"бессрочный отпуск (обр. в знач.: отставка);долгие праздники, выходные (напр. майские); долгосрочный заём"
长久,chángjiǔ,"постоянный, долгий, длительный, продолжительный"
长跑,chángpǎo,бег на длинные дистанции
长远,chángyuǎn,"в отдаленном будущем, далеко идущий, перспективный"
常规,chángguī,"обычная практика, общепринятый порядок, рутина; обычный, общепринятый, рутинный"
常年,chángnián,"круглый год, год за годом; обычный год"
厂商,chǎngshāng,промышленные и коммерческие предприятия
场地,chǎngdì,"место, площадка (для каких-то занятий)"
场馆,chǎngguǎn,"спортивная площадка, арена"
场景,chǎngjǐng,"сцена, картина, эпизод"
畅通,chàngtōng,"свободно (беспрепятственно, безотказно) идти (ходить, действовать); (регулярно) действовать; движение свободно, пробок нет"
超,chāo,"превышать, обгонять; выходить за рамки, превосходить обычный уровень"
超出,chāochū,"превышать, превосходить, выходить за рамки"
炒,chǎo,"калить; сушить; поджаривать, разогревать; поджаренный"
炒股,chǎo gǔ,спекулировать на фондовом рынке
炒作,chǎozuò,"спекулировать; продвигать, раскручивать"
车号,chēhào,"номер вагона, номер автомобиля"
车牌,chēpái,номерной знак (автомобиля)
车展,chēzhǎn,"автомобильная выставка, автосалон"
撤离,chèlí,"вывести(сь), эвакуировать(ся); покинуть (место пребывания), оставить (позиции), свертывать (штаб); снять"
撤销,chèxiāo,"отменять, аннулировать, упразднять; осаду расформировать; распустить"
撑,chēng,поддерживать; раскрывать; выдерживать; наполнять до отказа
成,chéng,"завершаться успехом; весь, целый; становиться; быть на подъеме; заключать мир, мириться;"
成分,chéngfèn,"составная часть, элемент, компонент; конституция, состав; социальное положение"
成品,chéngpǐn,готовый продукт
承诺,chéngnuò,"(дать) обещание, (брать на себя) обязательство; обещать, обязываться"
城区,chéngqū,центр города
城乡,chéngxiāng,город и деревня
城镇,chéngzhèn,города и поселки
持有,chíyǒu,"обладать, иметь"
冲击,chōngjī,"удар; ударный; баллистический; толчок, импульс; импульсный; штурм; штурмовой; ударять"
重建,chóngjiàn,"реконструировать, перестраивать; реконструкция, перестройка"
重组,chóngzǔ,"реорганизовывать, реструктурировать"
崇拜,chóngbài,"почитать, преклоняться, боготворить; культ, поклонение"
宠物,chǒngwù,"домашнее животное, ручной зверек; любимец, любимчик"
冲,chòng,"сильный, резкий; по направлению к; в сторону к.-либо, ч.-либо"
出场,chū chǎng,театр выходить на сцену; выход (артиста); спорт выходить на арену (стадион); появляться на месте действия
出动,chūdòng,"выступить (о войсках), выход, вылет; направить; двинуть (войска)"
出访,chūfǎng,посетить другую страну
出路,chūlù,путь отхода; сбыт; развитие; выход
出面,chū miàn,"появляться, показываться; выступать от имени"
出名,chū míng,"прославиться, стать знаменитым"
出入,chūrù,выходить и входить; расхождение; несоответствие
出事,chū shì,попадать в несчастный случай
出台,chū tái,"появляться на сцене, вводить (меры), издавать (закон)"
出行,chūxíng,"путешествовать, отправляться в путешествие"
初等,chūděng,"начальный, первичный, элементарный"
除,chú,искоренять; удалять; уничтожать; исключать; исключая; за исключением; кроме...; (мат.) делить; деление
厨师,chúshī,повар
储存,chǔcún,"запасать, копить про запас, накапливать; запасы; сохранять"
处处,chùchù,"везде, повсюду, во всех отношениях, во всем"
处长,chùzhǎng,"начальник отдела, директор"
传出,chuánchū,"распускать, распространять, разглашать; передавать"
传媒,chuánméi,"средства массовой информации, масс-медиа"
传输,chuánshū,передавать
传言,chuányán,слухи; толки
船员,chuányuán,"матрос, член экипажа"
船长,chuánzhǎng,"командир корабля, капитан"
船只,chuánzhī,суда; корабли
串,chuàn,"нанизывать; пронизывать (продевать) насквозь; посещать, навещать ; ходить в гости; сч.слово связка, гроздь"
窗口,chuāngkǒu,окно; (комп.) окно
创办,chuàngbàn,"основывать, учреждать, открывать"
创建,chuàngjiàn,"основывать, учреждать, создавать"
创意,chuàngyì,"оригинальность, креативность"
此处,cǐ chù,"это место, здесь"
此次,cǐ cì,этот раз
此前,cǐqián,"до этого, ранее"
此事,cǐshì,"это (данное, настоящее) дело"
此致,cǐzhì,"офиц. (обозначает окончание письма) на этом позвольте завершить, на этом заканчиваю, на этом завершаю, на этом всё, за сим (откланиваюсь)"
次数,cìshù,количество раз
从不,cóngbù,"никогда не; не было такого, чтобы"
从没,cóngméi,"никогда не (о действии, которое никогда не происходило в прошлом)"
醋,cù,уксус; ревность
村庄,cūnzhuāng,"деревня, село"
错过,cuòguò,"пропустить (напр., поезд), упустить, прозевать"
搭,dā,"строить, возводить, сооружать; складывать; устраивать, налаживать, приспособлять; сцеплять; завязывать (контакт, беседу)"
搭档,dādàng,партнёр; компаньон; сотрудничать; действовать сообща
搭配,dāpèi,соединять в одно целое; смешивать; комбинировать; сочетать; сочетание
打动,dǎdòng,"трогать, умилять"
打断,dǎduàn,"прерывать, перебивать"
打发,dǎfa,отправлять (с поручением); выпроваживать; коротать (время)
打官司,dǎ guānsi,"судиться, сутяжничать, вести судебное дело, затеять тяжбу"
打牌,dǎpái,"играть в карты, играть в покер"
打印机,dǎyìnjī,принтер
打造,dǎzào,"создавать, изготавливать, делать"
大道,dàdào,главная улица
大街,dàjiē,"проспект, улица, главная улица"
大力,dàlì,большие усилия
大米,dàmǐ,рис
大批,dàpī,в большом количестве
大赛,dàsài,"конкурс, отбор"
大师,dàshī,"великий мастер, наставник"
大使,dàshǐ,посол
待会儿,dāihuìr,"через мгновение, чуть позже"
担忧,dānyōu,"волноваться, беспокоиться"
单打,dāndǎ,(спорт.) одиночная игра
诞生,dànshēng,"рождаться, появляться, зарождение, начало"
党,dǎng,партия; партийный; группировка; клан
当,dàng,равняться; быть эквивалентом; стоить; считаться за; принимать за
当成,dàngchéng,"считать, принимать, рассматривать в качестве"
当天,dàngtiān,"этот же день, тот же самый день"
当作,dàngzuò,"относиться как к, считать за"
档,dàng,"полка; стеллаж; сорт, класс; архив; архивное дело, (архивный документ)"
档案,dàngàn,"архив, досье; архивные дела (документы); архивный"
岛,dǎo,остров
到期,dào qī,"срок истёк; пора; наступает срок; в срок, в обусловленное время; к определённому сроку"
盗版,dàobǎn,делать пиратскую копию; пиратство
道教,Dàojiào,даосизм
道歉,dào qiàn,"приносить извинения, извиняться; выражать сожаление"
低头,dī tóu,"склонять голову, опускать голову"
低温,dīwēn,низкая температура
滴,dī,капать;накапливать; капля
抵达,dǐdá,"прибыть, дойти, достичь"
抵抗,dǐkàng,сопротивляться; давать отпор; сопротивление
地板,dìbǎn,"пол, настил"
地名,dìmíng,название места
地下室,dìxiàshì,подвал
电车,diànchē,троллейбус
电动,diàndòng,"электрический, снабженный мотором"
电力,diànlì,электрическая сила
电器,diànqì,"электроприбор, электроаппарат"
吊,diào,"висеть, вешаться; оплакивать, чтить память; соболезновать, выражать сочувствие (личным визитом) (кому-л.) (по поводу чего-л.); проявлять жалость к (кому-л.)"
调研,diàoyán,"исследовать, изучать"
跌,diē,спотыкаться; падать (о человеке); снижаться; падать; опускаться
定价,dìngjià,"устанавливать цену; установленная цена, фиксированная цена"
定时,dìngshí,устанавливать время; установленное время; установленный на определенное время
定位,dìng wèi,"определять местоположение; местоположение, местонахождение"
动画,dònghuà,"анимация, мультфильм"
斗争,dòuzhēng,борьба; бороться
都市,dūshì,(крупный) город
毒品,dúpǐn,наркотик
赌,dǔ,"играть в азартные игры, держать пари"
赌博,dǔbó,играть (в азартные игры); азартные игры
渡,dù,"переправляться через; преодолевать, осиливать; перевозить через"
端,duān,"конец; верхушка, край; начало; причина"
端午节,Duānwǔ Jié,"Праздник начала лета, праздник ""двойной пятерки"", праздник драконьих лодок (5-го числа 5-го месяца по лунному календарю, обычно приходится на июнь)"
短片,duǎnpiàn,"короткое видео, короткометражный фильм"
队伍,duìwu,отряд; ряды; колонна
对抗,duìkàng,противостоять; сопротивляться; давать отпор; антагонизм; противопоставление
对外,duìwài,"внешний, иностранный"
蹲,dūn,сидеть на корточках; (перен.) сидеть
多半,duōbàn,"скорее всего, по всей вероятности; больше половины, большинство"
多方面,duō fāngmiàn,"много аспектов, много сторон"
多媒体,duōméitǐ,мультимедиа
夺,duó,"отнимать, захватывать"
夺取,duóqǔ,"захватывать, завладевать"
恩人,ēnrén,благодетель
儿科,érkē,педиатрическое отделение
发病,fā bìng,заболеть; начало болезни; приступ
发电,fā diàn,"производить электроэнергию, генерировать электричество"
发放,fāfàng,"выдавать, раздавать, предоставлять, распространять"
发怒,fā nù,"сердиться, гневаться, впадать в ярость"
发起,fāqǐ,"начинать, инициировать"
发言人,fāyánrén,"докладчик, пресс-секретарь"
发炎,fāyán,воспалиться; воспаление
法庭,fǎtíng,"суд, трибунал; зал суда"
法语,Fǎyǔ,французский язык
番,fān,"раз; счётное слово для запахов, вкусов; очередь; последовательность; варвар; чужеземный"
番茄,fānqié,"помидор, томат"
凡是,fánshì,"всякий, кто; все, кто; всё, что; всякий раз, когда"
繁殖,fánzhí,размножать(ся); плодиться; размножение
反抗,fǎnkàng,"сопротивляться, давать отпор; отпор; противодействовать; сопротивление"
反问,fǎnwèn,задавать встречный вопрос; возражать; контрвопрос; реплика; риторический вопрос
反响,fǎnxiǎng,"реакция, отзвук, эхо"
犯,fàn,"возникать снова, повторяться, иметь рецидив, совершать"
犯规,fàn guī,нарушать правило; нарушение правила
犯罪,fàn zuì,совершать преступление
防范,fángfàn,"принимать меры предосторожности, остерегаться"
防守,fángshǒu,оборонять; защищать; защита
房价,fángjià,цена на жилье
仿佛,fǎngfú,как будто; похоже; кажется; быть подобным
飞船,fēichuán,"дирижабль, воздушный корабль, космический корабль"
飞行员,fēixíngyuán,"пилот, летчик"
肺,fèi,"лёгкое, лёгкие; лёгочный"
分工,fēn gōng,делить работу; разделение труда
分裂,fēnliè,"раскалываться; дробиться, разделяться; распад; дробление; (физ.) расщепление"
愤怒,fènnù,"гнев, возмущение, негодование"
风暴,fēngbào,"буря, ураган, шторм; ураганный"
峰会,fēnghuì,"саммит, встреча на высшем уровне"
奉献,fèngxiàn,"вручить, преподнести; отдать (напр., свой талант); внести вклад"
佛,fó,"Будда; буддизм; статуя Будды; буддийский канон; Будда Шакьямуни (основатель буддизма, главное божество)"
佛教,Fójiào,буддизм
服,fú,"подчиняться, повиноваться; принимать (лекарство); исполнять, нести (наказание); убеждать; быть убежденным; платье, одежда; траурная одежда; надевать, носить"
浮,fú,плавать на поверхности; плавать в воде; парить в воздухе
父女,fùnǚ,отец и дочь
父子,fùzǐ,отец и сын
负,fù,"брать на себя, нести; подвергаться; проигрывать, терпеть неудачу; быть должным, задолжать; (матем.) минус; (электр.) отрицательный"
妇女,fùnǚ,женщина; женский
复苏,fùsū,"оживать, приходить в сознание, воскресать, возрождаться; восстанавливаться"
副,fù,"второй, вице-, вспомогательный"
副,fù,сч. слово для наборов и парных предметов
富人,fùrén,"богач, богатый человек"
富有,fùyǒu,"богатый; иметь в изобилии, быть богатым"
改装,gǎizhuāng,"реконструировать, переделывать"
干涉,gānshè,"вмешиваться; вмешательство, интервенция; (физ.) интерференция"
肝,gān,печень
杆,gǎn ,"древко; ручка, рукоятка; ножка; стержень; рычаг; балансир, коромысло (весов); штука, сч. слово для предметов с какойл. удлинённой частью"
赶不上,gǎnbushàng,"не поспевать за, не мочь догнать"
赶忙,gǎnmáng,"торопливо, спешно"
赶上,gǎn shàng,"догонять, не отставать; успевать; выпадать (на какое-то событие)"
敢于,gǎnyú,"иметь мужество, осмеливаться"
感人,gǎnrén,"волнующий, трогательный"
刚好,gānghǎo,"подходящий; прямо, точно; кстати, как раз"
岗位,gǎngwèi,"пост, должность; место"
港口,gǎngkǒu,"порт, гавань; бухта; портовый"
高层,gāocéng,высокий уровень; высокий класс
高档,gāodàng,"высшего сорта, высокосортный"
高等,gāoděng,"высший, продвинутый"
高峰,gāofēng,"пик, высшая точка, апогей; критический момент"
高考,gāokǎo,вступительные экзамены в высшее учебное заведение
高科技,gāokējì,высокие технологии
高手,gāoshǒu,"эксперт, мастер, знаток"
稿子,gǎozi,рукопись
歌唱,gēchàng,"петь, воспевать, славить в песне"
歌词,gēcí,слова песни
歌星,gēxīng,"звезда вокала, популярный певец или певица"
革新,géxīn,"обновлять, реформировать"
更是,gèngshì,"в большей степени быть, в большей степени являться,sглавным образом быть"
工商,gōngshāng,"бизнес, промышленность и торговля"
公,gōng,"общественный, государственный; общепризнанный; международный, мировой; открытый, гласный; справедливый, беспристрастный"
公安,gōngān,"полиция, общественная безопасность"
公鸡,gōngjī,петух
公众,gōngzhòng,"публика, общественность"
公主,gōngzhǔ,"принцесса, дочь императора, царевна"
攻击,gōngjī,"атаковать; наступать на...; наступление, атака; предъявить обвинение; нападать"
供给,gōngjǐ,"снабжать, поставлять; снабжение"
宫,gōng,"дворец; храм; дворцовый, придворный"
巩固,gǒnggù,"крепкий, прочный; укрепить, закрепить, упрочить"
贡献,gòngxiàn,"вносить вклад, вносить лепту; жертвовать; посвящать, вклад"
构建,gòujiàn,"создавать,абстр. строить"
孤独,gūdú,"одинокий; уединённый; одиночество, необщительный, замкнутый"
孤儿,gūér,"сирота, ребенок без родителей"
姑姑,gūgu,"тётка, тётя (по отцу)"
古典,gǔdiǎn,классика; классический
股,gǔ,"счетное слово для вытянутых предметов, запахов, силы, групп людей (часто с уничижительным значением)"
股东,gǔdōng,акционер; пайщик
股票,gǔpiào,акция; доля; акционерный; фонды; фондовый
故障,gùzhàng,"помеха, препятствие; вред, повреждение, выход из строя, неисправность"
顾,gù,"оглядываться; посещать, наносить визит; быть постоянным посетителем"
刮,guā,"скрести, скоблить, царапать"
拐,guǎi,"повернуть, завернуть; трость, палка"
关爱,guānài,проявлять заботу и беспокойство по отношению к...
关联,guānlián,"быть связанным с, касаться; связь, зависимость"
观光,guānguāng,"осматривать, посещать (достопримечательности),совершать экскурсию"
官司,guānsi,"судебное дело, судебный процесс"
管道,guǎndào,трубопровод
光辉,guānghuī,"свет, сияние; блеск; блестящий, сверкающий"
广阔,guǎngkuò,"широкий, обширный, просторный"
轨道,guǐdào,"колея; рельсовый путь; (перен.) колея, русло; орбита; орбитальный"
跪,guì,стоять на коленях; преклонить колени
国产,guóchǎn,"отечественного производства, отечественный"
国歌,guógē,государственный гимн
国会,guóhuì,"конгресс, парламент"
国旗,guóqí,национальный флаг
国王,guówáng,"государь, правитель, монарх; ван, царь, король"
果酱,guǒjiàng,"варенье, джем, повидло"
果树,guǒshù,фруктовое дерево
过渡,guòdù,"переправляться, переходить; переправа; переходящий; переходный; транзитный;"
过后,guòhòu,"переход после, потом, затем"
过时,guòshí,"устаревший, старомодный, вышедший из моды"
海报,hǎibào,"плакат, афиша"
海底,hǎidǐ,"морское дно, дно океана"
海军,hǎijūn,"военно-морской флот, военно-морские силы"
海浪,hǎilàng,морская волна
海外,hǎiwài,заграница
海湾,hǎiwān,"бухта, залив, гавань"
海洋,hǎiyáng,моря и океаны; морской
好容易,hǎo( bù) róngyì,с большим трудом
好似,hǎosì,"походить на, быть как"
好转,hǎozhuǎn,"улучшаться, изменяться к лучшему"
好学,hàoxué,любить учиться
合约,héyuē,"договор, контракт"
和谐,héxié,гармоничный; гармония
核心,héxīn,"сердцевина; ядро; центр; суть, сущность; основной, главный, важнейший, центральный"
黑夜,hēiyè,"ночь, темнота"
很难说,hěnnánshuō,очень трудно сказать
狠,hěn,"свирепый, жестокий; твердый, решительный; неумолимый, строгий"
横,héng,поперечный; поперёк; горизонтальный; горизонталь
衡量,héngliáng,"взвешивать, измерять, оценивать, обдумывать"
宏大,hóngdà,"огромный, гигантский"
洪水,hóngshuǐ,"паводковые воды; паводок, наводнение"
忽略,hūlüè,не принять во внимание; упустить из виду; игнорировать
壶,hú,"сч. слово для жидкости:чайник, кувшин; фляга"
互动,hùdòng,взаимодействовать
户外,hùwài,"наружный, на открытом воздухе"
护,hù,защищать; принимать сторону
花费,huāfèi,"тратить, затрачивать, расходовать"
花瓶,huāpíng,ваза
花生,huāshēng,арахис; китайский орех
化解,huàjiě,"устранить, разрешить, нейтрализовать; освободиться, преодолеть; отвести беду; растворить, расплавить, рассеять; сбросить груз, раскрепоститься; разъяснить, растолковать"
幻想,huànxiǎng,фантазировать; мечтать; иллюзия; фантазия; грёзы; мечта; фантастический
患者,huànzhě,больной; пациент
皇帝,huángdì,император
回应,huíyìng,ответ; отвечать
毁,huǐ,"разрушать, уничтожать; сжигать; клеветать, наговаривать"
会见,huìjiàn,встречаться с
会长,huìzhǎng,"президент клуба, председатель комиссии и т.д."
绘画,huìhuà,"рисовать, писать (красками); картина, живопись"
昏,hūn,"терять сознание, падать в обморок; темный, неясный; запутавшийся; закат"
混,hùn,"смешиваться, перемешиваться; сливаться, соединяться; пережить кое-как; ладить с; (обманом) выдавать за"
混合,hùnhé,смешивать; смешанный; смесь
混乱,hùnluàn,"беспорядок, хаос, путаница; перепутывать(ся)"
活跃,huóyuè,"оживление, активность; оживиться, проявить активность; оживлённый, живой, активный"
火箭,huǒjiàn,ракета; ракетный
机动车,jīdòngchē,"моторное транспортное средство, механическое транспортное средство"
机关,jīguān,государственное учреждение
机械,jīxiè,механизм; механический; машинальный; автоматический
基督教,Jīdūjiào,христианство; христианский
激情,jīqíng,"страсть, энтузиазм; бурное чувство; порыв"
吉利,jílì,"счастливый, благоприятный"
吉祥,jíxiáng,"счастливый, благоприятный; счастливая примета, доброе предвестие; счастье"
极端,jíduān,крайность; крайне; крайний; ультра
急救,jíjiù,оказывать первую медицинскую помощь; первая медицинская помощь
疾病,jíbìng,болезнь; заболевание
集,jí,"собрание, сборник; часть, серия, эпизод"
给予,jǐyǔ,давать; дарить; даровать
加盟,jiāméng,"вступать в, присоединяться"
家电,jiādiàn,бытовые электроприборы
家园,jiāyuán,"дом, родина"
嘉宾,jiābīn,"почётный гость, дорогой гость"
假日,jiàrì,"выходной день, праздник"
尖,jiān,"острие, кончик; острый, заостренный; (о голосе) резкий, пронзительный; острый, чувствительный; лучший, выдающийся;"
监测,jiāncè,"контролировать, проверять"
监督,jiāndū,контролировать; надзирать; контроль; надзор
捡,jiǎn,подбирать; собирать
简介,jiǎnjiè,"краткое введение, обзор"
剑,jiàn,меч
鉴定,jiàndìng,дать оценку; дать заключение; аттестовать; заключение; оценка; экспертиза
箭,jiàn,стрела; расстояние полета стрелы; предмет в форме стрелы
将军,jiāngjūn,генерал; объявить шах королю; шах; (перен.) поставить в трудное положение
讲课,jiǎng kè,"читать лекцию, проводить урок"
酱,jiàng,"соус, подливка, паста"
酱油,jiàngyóu,соевый соус
骄傲,jiāoào,"надменный, высокомерный; гордый; гордость"
焦点,jiāodiǎn,"фокус, узел; суть"
脚印,jiǎoyìn,"след, отпечаток ноги"
觉,jiào,сон; спать; засыпать
教堂,jiàotáng,храм; церковь; костёл; кирка; мечеть
教育部,jiàoyùbù,Министерство образования
接收,jiēshōu,"получать, принимать"
揭,jiē,"сдирать, срывать; разоблачать; открывать; (книжн.) поднимать, держать над собой"
街头,jiētóu,"улица, угол улицы"
节,jié,"сокращать; копить, экономить"
节假日,jiéjiàrì,праздничные и выходные дни
节能,jiénéng,энергосбережение; экономно расходовать энергию
节奏,jiézòu,"ритм, такт; ритмичный"
杰出,jiéchū,"выдающийся, из ряда вон выходящий, талантливый, особенный"
截止,jiézhǐ,"прекращаться (с определённого момента времени); (эл.) критический, предельный"
截至,jiézhì,"вплоть до, по состоянию на"
解,jiě,"объяснять; развязывать, расстегивать; разрезать; разделять; избавляться от (напр., голода); понимать; решать математическую задачу; (матем.) решение"
解说,jiěshuō,объяснять; объяснение
界,jiè,"граница, рубеж; рамки; границы"
界,jiè( wényìjiè),круги; представители
借鉴,jièjiàn,"заимствовать, перенимать; использовать опыт, следовать примеру"
金额,jīné,"денежная сумма, сумма денег"
金钱,jīnqián,деньги
金融,jīnróng,"финансы, финансовый, банковский"
尽,jìn,"заканчивать, исчерпывать; исполнять, оканчивать; истощать; растрачивать (отдавать) до конца; осушать (бокал); доводить до конца"
进攻,jìngōng,"наступать, нападать, атаковать; наступление"
近日,jìnrì,"недавно, в последние дни"
近视,jìnshì,"близорукость, миопия"
惊人,jīngrén,"удивительный, изумительный, поразительный"
惊喜,jīngxǐ,приятный сюрприз; приятно удивленный
精,jīng,"эссенция, экстракт; энергия, дух; сперма; демон, оборотень"
精美,jīngměi,"тонкий, изящный, изысканный"
精品,jīngpǐn,"конкурентоспособная продукция, продукция высокого качества и привлекательного вида"
井,jǐng,колодец; шахта; скважина
景,jǐng,пейзаж
景点,jǐngdiǎn,живописное место
净,jìng,"чистый, нетто"
纠纷,jiūfēn,конфликт; ссора; раздор; инцидент
纠正,jiūzhèng,исправлять; корректировать
酒水,jiǔshuǐ,напитки
救命,jiùmìng,спасать чью-то жизнь; На помощь
救援,jiùyuán,"спасать, выручать; спасение, выручка, помощь"
救助,jiùzhù,"спасать, выручать из опасности или трудного положения"
就是说,jiùshìshuō,"то есть, другими словами"
就算,jiùsuàn,"даже если, пусть даже, допустим"
局,jú,счетное слово для игр
剧,jù,"драма, пьеса"
据,jù,"опираться на, облокачиваться на; базироваться на; завладевать, захватывать; в соответствии с, согласно"
捐,juān,отбрасывать; выбрасывать; жертвовать; помогать материально; обложение; сбор; налог
捐款,juānkuǎn,"жертвовать деньги, делать взнос; подарочные деньги, пожертвование, взнос"
捐赠,juānzèng,"отдавать, дарить, жертвовать"
捐助,juānzhù,"помогать материально, жертвовать"
决策,juécè,разрабатывать стратегию; стратегический план
觉悟,juéwù,понять; сознавать; просветить; сознание; прозрение
绝,jué,"обрываться, прекращаться; выделяться, иметь превосходство; превосходный, единственный; крайне, очень; перед отриц. совершенно не, так или иначе"
绝大多数,jué dàduōshù,"абсолютное большинство, подавляющее большинство"
军队,jūnduì,войска; армия
军舰,jūnjiàn,военный корабль
军事,jūnshì,военное дело; воинский; военный
开创,kāichuàng,"начинать, основывать, положить начало"
开关,kāiguān,"рубильник, переключатель"
开设,kāishè,"открывать, основывать , вводить"
开通,kāitōng,"открывать; открытый новому, прогрессивный"
开头,kāitóu,"начинать(ся); начало, открытие"
开夜车,kāiyèchē,работать или учиться до глубокой ночи
看,kān,"смотреть за; присматривать; сторожить, караулить"
