character,pinyin,definitions
大小,dàxiǎo,размер; большой или маленький
大衣,dàyī,"пальто, куртка"
大自然,dàzìrán,природа
带,dài,носить; имея при себе; вести за собой; пояс
带来,dàilái,"приносить, вызывать, создавать (напр., проблемы)"
单位,dānwèi,единица измерения; учреждение; организация
但,dàn,"но, однако; только, только бы"
但是,dànshì,"но, однако; только"
蛋,dàn,яйцо
当,"dāng, dàng","dāng быть, являться; состоять;dàng равняться; быть эквивалентом; стоить; считаться за; dàng принимать (считать) за; приравнивать к; относиться как к"
当时,dāngshí,"тогда, в то время"
倒,dǎo,упасть; повалиться; опрокинуть(ся)
到处,dàochù,"повсюду, везде"
倒,dào,"перевернуть; повернуть вверх ногами; вверх ногами; вверх дном; задом наперёд; напротив, наоборот"
道,dào,"счетное слово для рек, длинных предметов, стен, дверей, приказов, тем, блюд, вопросов и т.д."
道理,dàolǐ,"здравый смысл; резон; суть; основание, причина"
道路,dàolù,"дорога, путь"
得,dé,"получать, добывать; обретать; завладевать; завоёвывать; равняться; (используется, чтобы завершить разговор, и указывает на согласие или несогласие) ладно!, хватит!;(выражает досаду) черт!, ну вот!"
得出,déchū,"получить результат, приходить к заключению"
的话,dehuà,"если, если скажем; в случае, если"
得,de,"модификатор результативных глаголов, указывающий на законченность действия глагола; показатель обстоятельства, следующего за сказуемым"
灯,dēng,"лампа, люстра; свет"
等,děng,"и так далее, и тому подобное, и другие; используется в конце перечисления"
等到,děngdào,"ко времени, когда, к"
等于,děngyú,"быть равным, равняться; равно, равносильно"
低,dī,низкий; низко; низший
地球,dìqiú,"Земля, земной шар; земной"
地铁,dìtiě,метро
地铁站,dìtiězhàn,станция метро
点头,diǎn tóu,кивать
店,diàn,"магазин, лавка; гостиница"
掉,diào,падать; выпадать; ронять; терять
东北,dōngběi,северо-восток
东方,dōngfāng,"восток, Восток"
东南,dōngnán,юго-восток
冬天,dōngtiān,зима; зимнее небо
懂,dǒng,понимать
懂得,dǒngde,"понимать, знать, разбираться в"
动物,dòngwù,животное
动物园,dòngwùyuán,зоопарк
读音,dúyīn,"произношение, чтение слова"
度,dù,"предел, степень; правило, норма поведения; манера; время; градус"
短,duǎn,короткий
短信,duǎnxìn,"смс, сообщение"
段,duàn,"параграф, отрезок, период времени, стадия; счетное слово для отрезков времени"
队,duì,команда
队长,duìzhǎng,"капитан, лидер"
对,duì,"стоять лицом к; сочетаться друг с другом; подходить; сравнивать, сверять; настраивать; смешивать с, добавлять; противостоять"
对话,duìhuà,диалог
对面,duìmiàn,напротив; противоположная сторона; лицом к лицу
多,duō,много
多久,duōjiǔ,как долго; как часто
多么,duōme,"так, до такой степени; насколько же...!; как?, сколько?, насколько?"
多数,duōshù,"большинство, большая часть"
多云,duōyún,облачный
而且,érqiě,"но и; к тому же, еще и"
发,fā,"посылать, испускать, развивать"
发现,fāxiàn,обнаружить
饭馆,fànguǎn,"ресторан, закусочная"
方便,fāngbiàn,удобный
方便面,fāngbiànmiàn,лапша быстрого приготовления
方法,fāngfǎ,"способ, метод; средство; путь, приём"
方面,fāngmiàn,"сторона; со стороны; в направлении; аспект, отношение"
方向,fāngxiàng,направление; сторона; ориентация
放下,fàngxia,"класть, складывать"
放心,fàng xīn,успокаиваться; быть спокойным
分,fēn,"делить, отделять; распределять, выдавать; делать различие"
分开,fēn kāi,"делить, отделять, разделять, расставаться"
分数,fēnshù,"зачетный балл, оценка; дробь"
分钟,fēnzhōng,минута
份,fèn,"сущ./ сч.слово: часть, доля; пай, доза, порция; экземпляр"
封,fēng,счетное слово для писем и др. предметов в конверте
服务,fúwù,"служить, прислуживать; услуга"
复习,fùxí,повторять
该,gāi,"должен, следует"
改,gǎi,изменяться; исправляться; реформа
改变,gǎibiàn,"изменять, переменять; преобразовывать; изменение, перемена"
干杯,gān bēi,"выпить до дна, осушить бокал; пей до дна!"
感到,gǎndào,"чувствовать, ощущать, отдавать себе отчет в, воспринимать"
感动,gǎndòng,"растрогаться, расчувствоваться; растрогать"
感觉,gǎnjué,"чувство; ощущение; реакция; чувствовать, ощущать; чувствительный; восприятие"
感谢,gǎnxiè,быть благодарным; чувствительно благодарить
干活儿,gàn huór,"работать, трудиться; работа"
刚,gāng,"только что; как раз; твёрдый, стойкий"
刚才,gāngcái,только что
刚刚,gānggāng,"только что, только сейчас"
高级,gāojí,высшая ступень; высокого разряда; первоклассный; высокосортный
高中,gāozhōng,высшая ступень средней школы
个子,gèzi,"рост, комплекция, телосложение, фигура"
更,gèng,более
公共汽车,gōnggòngqìchē,общественный автобус
公交车,gōngjiāochē,"общественный транспорт, автобус"
公斤,gōngjīn,килограмм
公里,gōnglǐ,километр
公路,gōnglù,"автотрасса, шоссе"
公平,gōngpíng,"честный, справедливый, беспристрастный"
公司,gōngsī,"фирма, компания"
公园,gōngyuán,парк
狗,gǒu,собака
够,gòu,"достаточно, довольно; хватает"
故事,gùshi,"история, рассказ"
故意,gùyì,"преднамеренно, намеренно, умышленно"
顾客,gùkè,"клиент, покупатель, потребитель, заказчик"
关机,guān jī,"отключать, обесточивать, выключать (компьютер)"
关心,guānxīn,"заботиться, внимание, забота"
观点,guāndiǎn,"точка зрения, взгляд, подход; позиция"
广场,guǎngchǎng,площадь ;открытоепространство
广告,guǎnggào,объявление; реклама; афиша
国际,guójì,международный; интернациональный
过来,guòlái,"подходить, приходить"
过年,guò nián,праздновать китайский Новый год
过去,guòqù,"пройти, сходить"
过,guo,"глагольный суффикс неопределённого прошедшего времени, указывает, что действие происходило в прошлом однажды или неоднократно, но сейчас более не происходит, что, однако, не исключает его повторения в настоящем или будущем времени "
海,hǎi,"море; крупное озеро; (образно)множество, море"
海边,hǎibiān,"берег моря, морское побережье"
喊,hǎn,кричать; выкрикивать; окликать; звать
好,hǎo,"хорошо, хорошенько"
好处,hǎochù,преимущество; достоинство; польза; выгода
好多,hǎoduō,"очень много, многочисленный"
好久,hǎojiǔ,"долгое время, в течение долгого времени"
好人,hǎorén,"хороший человек, добрый человек"
好事,hǎoshì,"доброе дело, радостное событие"
好像,hǎoxiàng,"похоже, что...; быть похожим на...; кажется..."
合适,héshì,"удобный, подходящий, соответствующий; подходить, годиться"
河,hé,"река; Желтая река, Хуанхэ; Млечный путь, Галактика"
黑,hēi,"черный, темный"
黑板,hēibǎn,доска
黑色,hēisè,"черный цвет, черный"
红,hóng,красный; популярный
红色,hóngsè,красный цвет
后来,hòulái,"впоследствии, в дальнейшем, потом, после, затем"
忽然,hūrán,"вдруг, внезапно, неожиданно"
湖,hú,озеро
护照,hùzhào,паспорт
花,huā,"тратить, расходовать"
花园,huāyuán,сад
画,huà,"рисовать, картина"
画家,huàjiā,"художник, живописец"
画儿,huàr,"картина, картинка, рисунок"
坏处,huàichù,"недостаток, вред"
坏人,huàirén,"плохой человек, злодей, негодяй"
欢迎,huānyíng,добро пожаловать
换,huàn,"обменять, менять"
黄,huáng,желтый
黄色,huángsè,желтый цвет
回,huí,сч. слово для количества повторений: раз; сч. слово для событий
回国,huí guó,возвращаться на родину
会,huì,"встреча, конференция"
活动,huódòng,действовать; действие; деятельность; мероприятие; двигаться; подвижный
或,huò,"или, либо; возможно, может быть; (книжн.) немного, слегка"
或者,huòzhě,или
机会,jīhuì,"возможность, шанс"
鸡,jī,"петух, курица"
级,jí,"ранг, разряд, уровень; ступень; класс, год обучения (в школе)"
急,jí,"испытывать нетерпение, беспокоиться"
计划,jìhuà,план; планировать; плановый
计算机,jìsuànjī,компьютер
加,jiā,"добавлять, увеличивать"
加油,jiā yóu,"заправлять (горючим); приложить дополнительные усилия, поднажать"
家,jiā( kēxuéjiā),"суффикс существительных, обозначающих представителей специальности, профессии"
家庭,jiātíng,семья; дом; домашний; семейный
家长,jiāzhǎng,родитель
假,jiǎ,ложный; фальшивый; поддельный; фиктивный
假期,jiàqī,"каникулы, отпуск"
检查,jiǎnchá,"проверять, проверка"
见到,jiàndào,"увидеть, встретиться"
见过,jiànguo,"видал, встречал"
件,jiàn,"сч.слово для вещей, одежды, событий"
健康,jiànkāng,"здоровый, здоровье"
讲,jiǎng,"говорить, рассказывать, объяснять"
讲话,jiǎng huà,"говорить, разговаривать"
交,jiāo,сдавать; отдавать; вручать; иметь связь; водить знакомство; пересекаться; переплетаться; дружба; обмениваться; взаимно
交给,jiāogěi,"давать; доставлять; передавать, вручать"
交朋友,jiāopéngyou,"дружить, заводить друзей"
交通,jiāotōng,связь; сообщение; коммуникации; пути сообщения; движение
角,jiǎo,"угол, рог"
角度,jiǎodù,"угол; точка зрения, угол зрения, сторона"
饺子,jiǎozi,"цзяоцзы, пельмени"
脚,jiǎo,"нога; ступня, стопа; ножка (предмета)"
叫作,jiàozuò,называть; называться (вариант [叫做])
教师,jiàoshī,"учитель, преподаватель"
教室,jiàoshì,"аудитория, класс"
教学,jiàoxué,"преподавание (обучение) и учёба (восприятие); обучение, учебное дело; учебный процесс"
教育,jiàoyù,"просвещение, образование; воспитывать; воспитание"
接,jiē,"встречать/принимать, получать, брать, соединять, перенимать"
接到,jiēdào,"получить, принять; подключить, присоединить"
接受,jiēshòu,принимать; воспринять
接下来,jiēxiàlái,следующий; далее
接着,jiēzhe,"затем, вслед затем; следом; сразу за; принимать; продолжать"
街,jiē,улица
节,jié,"сустав, узел, сочленение"
节目,jiémù,программа
节日,jiérì,праздник
结果,jiéguǒ,"результат, итог; в результате"
借,jiè,"одалживать, занимать; посредством, под предлогом"
斤,jīn,"цзинь, сч.слово для веса, 500 граммам, полкилограмма"
今后,jīnhòu,"отныне, в дальнейшем, в будущем"
进入,jìnrù,"войти, вступить"
进行,jìnxíng,"проводить (что-либо), проведение; осуществлять; идти"
近,jìn,ближний
经常,jīngcháng,"часто, регулярно"
经过,jīngguò,"проходить (через..., по...); через; испытывать"
经理,jīnglǐ,"директор, менеджер"
酒,jiǔ,"вино, алкоголь"
酒店,jiǔdiàn,"гостиница, отель; винный магазин, бар"
就要,jiùyào,"показатель будущего времени, (что-то) вот- вот случится; следует"
举,jǔ,поднимать; приводить (пример и т.п.); выдвигать; избирать
举手,jǔshǒu,поднимать руку
举行,jǔxíng,"проводить, предпринимать; осуществлять, устраивать"
句,jù,"фраза, предложение"
句子,jùzi,предложение
卡,kǎ,"карта, карточка; магнитная карта"
开机,kāi jī,"включать (компьютер, мобильный телефон и т.д.)"
开心,kāixīn,весело; радостно; радоваться; разыгрывать
开学,kāi xué,начать занятия (о школе); приступить к учёбе; начало занятий
看法,kànfǎ,"подход, точка зрения, мнение; взгляды, воззрение"
考生,kǎoshēng,экзаменующийся
靠,kào,"находиться в непосредственной близости от..., прилегать вплотную к..., плотно примыкать к...; близ, возле, около (чеголибо)"
科,kē,"учебный предмет, область изучения, дисциплина, кафедра; (биол.) семейство"
科学,kēxué,наука; отрасль науки; научный
可爱,kěài,милый
可能,kěnéng,"возможно, мочь, иметь возможность, возможность"
可怕,kěpà,"страшный; ужасный; внушающий страх; страшно, ужасно"
可是,kěshì,"но, однако, а"
可以,kěyǐ,"мочь, иметь возможность (разрешено)"
克,kè,справиться; суметь; выдерживать
刻,kè,"графема/сч.слово мгновение; злой, жестокий; глубокий; устанавливать срок; четверть (часа)"
客人,kèrén,гость
课堂,kètáng,классная комната
空气,kōngqì,"воздух, атмосфера: воздушный, атмосферный"
哭,kū,плакать
快餐,kuàicān,"быстрая еда, фаст-фуд"
快点儿,kuài diǎnr,"поторопись, побыстрее"
快乐,kuàilè,веселый
快要,kuàiyào,"вот-вот, скоро, в ближайшем времени"
筷子,kuàizi,палочки
拉,lā,"тянуть, тащить; растягивать; вести за собой; втягивать; впутывать; играть (на смычковых инструментах)"
来自,láizì,"происходить из, исходить из, проистекать из; от, из (чеголибо)"
蓝,lán,голубой; синий
蓝色,lánsè,синий цвет
篮球,lánqiú,баскетбол
老,lǎo,"давно, уже давно; издавна; обычно, всегда; всё время, постоянно; как правило"
老,lǎo( Lǎo Wáng),вежл. префикс перед названиями уважаемых лиц
老年,lǎonián,"старость, преклонный возраст"
老朋友,lǎopéngyou,старый друг
老是,lǎoshì,всегда
离,lí,"разлучаться, покидать, отстоять на каком- либо расстоянии от..."
离开,lí kāi,"покидать, уходить"
礼物,lǐwù,подарок
里头,lǐtou,внутри
理想,lǐxiǎng,"идеал, идеальное; мечта"
例如,lìrú,"например, как например"
例子,lìzi,пример
脸,liǎn,лицо
练,liàn,практиковать
练习,liànxí,"упражняться, упражнение"
凉,liáng,"прохладный, холодно; студёный, остуженный; свежий (ветер), чистый (воздух); слабый, низкий"
凉快,liángkuai,"прохладный; прохлада, свежесть; наслаждаться прохладой"
两,liǎng,сч.слово: пятьдесят грамм
亮,liàng,"светлый, ясный, яркий; блестеть, сверкать"
辆,liàng,счетное слово для наземного транспорта
零下,líng xià,ниже нуля
留,liú,"остаться; задержать(-ся); сохранить, оставить"
留下,liúxià,"оставлять; оставаться; держать, не отпускать"
留学生,liúxuéshēng,"студент, учащийся за рубежом; иностранный студент"
流,liú,литься
流利,liúlì,"свободный, беглый; складный"
流行,liúxíng,модный; популярный; иметь хождение
路边,lùbiān,"обочина, край дороги, у дороги"
旅客,lǚkè,"пассажир; путешественник; пассажирский; жилец, постоялец"
旅行,lǚxíng,"путешествовать; путешествие, поездка; туристский, походный"
旅游,lǚyóu,"путешествовать, путешествие"
绿,lǜ,зеленый
绿色,lǜsè,зеленый цвет
卖,mài,продавать
满,mǎn,полный; целиком; полностью; наполнять; быть довольным; довольный
满意,mǎnyì,"быть удовлетворенным, удовлетворённый"
猫,māo,кошка
米,mǐ,счетное слово - метр
面,miàn,"счетное слово для плоских предметов (напр., флаг, зеркало и т.д.)"
面,miàn,"лапша, мука; лицо; фасад; сторона, аспект; поверхность"
面前,miànqián,"перед лицом, в присутствии"
名,míng,имя; называться
名称,míngchēng,"имя, название"
名单,míngdān,"список с именами, поименный перечень"
明星,míngxīng,"звездный, звезда; знаменитость"
目的,mùdì,цель; задача; намерение; замысел
拿出,náchū,"вынимать, доставать; выделять средства; проявлять (напр., мужество); позволять себе"
拿到,nádào,приносить; получать
那,nà,"союз в таком случае; следовательно, значит"
那会儿,nàhuìr,"в тот момент, в то время, тогда"
那么,nàme,"так, таким образом; тогда"
那时候｜那时,"nà shíhou, nà shí","тогда, в то время"
那样,nàyàng,"такой, в такой степени; так; таким образом"
南方,nánfāng,"южная часть страны, особенно район к югу от реки Хуанхэ"
难过,nánguò,трудно пережить (тяжёлое время); грустить
难看,nánkàn,"некрасивый, уродливый"
难受,nánshòu,тяжело переживать; страдать; чувствовать себя плохо
难题,nántí,сложная проблема
难听,nántīng,неприятный для уха
能够,nénggòu,"быть в состоянии, мочь"
年级,niánjí,"класс, курс"
年轻,niánqīng,молодой
鸟,niǎo,птица
弄,nòng,играть; забавляться; делать; достать; добыть
努力,nǔlì,"стараться, старания; усердие"
爬,pá,"ползать; карабкаться, взбираться; вставать с постели"
爬山,páshān,"ходить в горы, карабкаться/лазить по горам"
怕,pà,"бояться, опасаться; не выдерживать, не переносить"
排,pái,"линия; плот; взвод; ряд, линия"
排队,pái duì,"стоять в очереди, становиться в очередь; строиться, становиться строем; строем"
排球,páiqiú,волейбол
碰,pèng,встречаться с...; случайно наталкиваться на...; совпадать с...
碰到,pèngdào,"встречаться с, натыкаться на; дотрагиваться до"
碰见,pèng jiàn,"встречаться с, сталкиваться с"
篇,piān,глава; раздел; часть; сч. сл. для статей и т.п.
便宜,piányi,дешевый
片,piàn,"сущ./сч.слово: карточка, открытка; визитная карточка; пластинка; плёнка; таблетка; полоска, ломтик; сч.слово клочок; гл. нарезать"
漂亮,piàoliang,"красивый, прекрасный"
平,píng,"ровный, гладкий; горизонтальный, плоский"
平安,píng'ān,благополучный; благополучие; спокойствие
平常,píngcháng,"обычный, заурядный; нормальный; средний"
平等,píngděng,"равенство, паритет, равноправие; равноправный"
平时,píngshí,обычно; в обычное время; обычный; будничный
瓶,píng,бутылка; ваза
瓶子,píngzi,бутылка
普通,pǔtōng,"обычный, простой"
普通话,pǔtōnghuà,путунхуа - официальная норма китайского языка в КНР
其他,qítā,"прочий, остальной; другой; прочее; остальное"
其中,qízhōng,среди них; в том числе
骑,qí,"ездить верхом (на коне, велосипеде)"
骑车,qíchē,ездить на велосипеде
起飞,qǐfēi,взлетать
气,qì,"газ; воздух; дыхание; злиться, сердиться; злить, выводить из себя"
气温,qìwēn,температура
千,qiān,"тысяча, 1000"
千克,qiānkè,килограмм
前年,qiánnián,позапрошлый год
墙,qiáng,стена; ограда
青年,qīngnián,молодежь
青少年,qīng-shàonián,подростки; подрастающее поколение
轻,qīng,лёгкий; легко; третировать; недооценивать
清楚,qīngchu,"ясный, понятный, отчетливый"
晴,qíng,"солнечный, ясный, понятный"
晴天,qíngtiān,солнечный день
请客,qǐng kè,"приглашать в гости, угощать"
请求,qǐngqiú,"просить, упрашивать; просьба, пожелание"
秋天,qiūtiān,"осень, осенний сезон"
求,qiú,"просить, умолять; искать, стремиться к; требовать; предъявлять спрос; (матем.) вычислять"
球场,qiúchǎng,"спортивная площадка, игровое поле, стадион, корт"
球队,qiúduì,команда (в играх с мячом)
球鞋,qiúxié,"спортивная обувь, кроссовки, кеды"
取,qǔ,брать; взять; получить; воспринимать; получать
取得,qǔdé,"достигать, получать, добиваться"
全,quán,"сохранять в целости; полный; целый, весь; без исключения; полностью"
全部,quánbù,"целиком; полностью; сполна; весь; полный, целый"
全国,quánguó,"вся страна, вся нация"
全家,quánjiā,вся семья; семейный
全年,quánnián,"целый год, в течение всего года"
全身,quánshēn,"весь, всем телом, с головы до ног"
全体,quántǐ,"все сотрудники, полный состав"
然后,ránhòu,"а потом, а после, а затем; только после чего"
让,ràng,"позволять, просить, заставить сделать ч-л"
热情,rèqíng,"сердечность; сердечный; пылкость, энтузиазм"
人口,rénkǒu,"население, демографический"
人们,rénmen,люди
人数,rénshù,количество людей
认为,rènwéi,"считать, полагать"
日报,rìbào,ежедневная газета
日子,rìzi,"день; срок, время; дата"
如果,rúguǒ,если (бы); если в самом деле; если бы действительно
入口,rùkǒu,вход
商量,shāngliang,"консультироваться, советоваться, совещаться"
商人,shāngrén,"коммерсант, бизнесмен"
上周,shàngzhōu,прошлая неделя
少数,shǎoshù,"небольшое количество, немногие, меньшинство"
少年,shàonián,"подросток, молодой человек"
身边,shēnbiān,"около себя, рядом; при себе"
什么样,shénmeyàng,"какой, какого рода"
生,shēng,"рождать, производить на свет; расти; возникать; создавать; разжигать огонь"
生词,shēngcí,новое слово
生活,shēnghuó,жизнь; бытие; жить; сущестововать; быт; жизненный; бытовой
声音,shēngyīn,"голос, звук"
省,shěng,провинция; столица провинции
省,shěng,"сохранять, экономить; опускать; сокращать"
十分,shífēn,"в полной мере; весьма, очень"
实际,shíjì,реальный; фактический; реальность; действительность
实习,shíxí,"стажироваться, проходить практику; практика"
实现,shíxiàn,реализовать; претворить в жизнь; осуществить
实在,shízài,правдивый; настоящий; действительный
实在,shízai,крепкий; прочный; основательный
食物,shíwù,пища; еда
使用,shǐyòng,использовать(ся); применять; употреблять; применение
市,shì,город; муниципалитет; рынок
市长,shìzhǎng,мэр
事情,shìqing,"дело, событие; случай"
收,shōu,получать; взимать; собирать; принимать; брать
收到,shōudào,получать
收入,shōurù,доход; поступления (денежные)
手表,shǒubiǎo,наручные часы
受到,shòudào,получить; пользоваться; подвергнуться; потерпеть
舒服,shūfu,"удобный, уютный, хорошо себя чувствовать"
熟,shú/shóu,"прил. /наречие: 1. обработанный на огне; состряпанный, готовый; доваренный, дошедшийна (огне); до готовности; (также модификатор результативных глаголов, указывающих на готовность кушанья) 2) спелый, зрелый, созревший"
数,shǔ,"число, количество; цифра; несколько, столько-то"
数字,shùzì,цифра; цифры; цифровой
水平,shuǐpíng,"уровень, стандарт"
顺利,shùnlì,гладко; успешно; благоприятно
说明,shuōmíng,"объяснить, разъяснить; свидетельствовать; пояснение"
司机,sījī,"шофер, водитель"
送到,sòngdào,"отправлять, относить"
送给,sònggěi,отправлять; дарить
算,suàn,"считать, вычислять"
虽然,suīrán,"хотя, несмотря на"
随便,suíbiàn,"как угодно, как захочется; как попало; необдуманно"
随时,suíshí,"в любое время, всегда, во всех случаях, когда угодно"
所以,suǒyǐ,"поэтому, таким образом"
所有,suǒyǒu,"всё, все, все имеющееся; имущество, собственность"
它,tā,оно (про неодушевленные объекты и животных)
它们,tāmen,они ( о животных)
太太,tàitai,"госпожа; мадам; супруга, жена"
太阳,tàiyáng,солнце
态度,tàidu,отношение; поведение; образ действий
讨论,tǎolùn,"обсуждать, дискутировать; прения, обсуждение; форум"
套,tào,"футляр, чехол; обёртка; колпачок; наконечник"
特别,tèbié,"особенно, особенный"
特点,tèdiǎn,особенность; своеобразие; специфика
疼,téng,"больно, болезненный"
提,tí,"держать в руке; поднимать; нести (за ручку); выдвигать, ставить (напр., вопрос); вносить (напр.,предложение)"
提出,tíchū,"выдвигать, предлагать (для обсуждения), предъявлять (напр., требование)"
提到,tídào,"упоминать, поднимать (напр., вопрос), касаться"
提高,tí gāo,повышать
题,tí,"тема, вопрос, упоминать"
体育,tǐyù,"физкультура, спорт"
体育场,tǐyùchǎng,"стадион, спортивный зал"
体育馆,tǐyùguǎn,спортивный зал
天上,tiānshàng,"небо, небеса"
条,tiáo,"линия, лоскут; сч. слово для продолговатых объектов: рыба, река, дорого и т.д."
条件,tiáojiàn,условие; условный; обстоятельства
听讲,tīng jiǎng,"слушать объяснение, посещать лекции"
听说,tīngshuō,"слышно, что; как говорят; слушать и говорить"
停,tíng,останавливать(ся); прекращать(ся); стоять (о поезде и т.п.)
停车,tíng chē,"останавливать автомобиль, парковаться"
停车场,tíngchēchǎng,"парковка, стоянка для машин"
挺,tǐng,"очень, крайне, в высшей степени"
挺好,tǐng hǎo,"очень хороший, отличный"
通,"tōng, tòng","проходить, проезжать; идти напрямик; достигать, вести (в); пробивать, давать ход; пускать, пропускать; давать дорогу; проезжий, сквозной; открытый; сч. слово для статей, документов"
通过,tōngguò,"проходить через; принять (напр., резолюцию); посредством; с помощью; путём; через"
通知,tōngzhī,"сообщать; уведомлять; извещение, уведомление"
同时,tóngshí,"одновременно, в то же время"
同事,tóngshì,"коллега, товарищ по работе"
同样,tóngyàng,"одинаковый, равный"
头,tóu,"голова; волосы, прическа; шеф, лидер; счетное слово для крупных животных (напр., свиней, коров, овец, слонов и т.д.); сч.слово для головки чеснока или лука"
头,tou( lǐtou),словообразующий суффикс имён существительных и наречий места
头发,tóufa,волосы
图片,túpiàn,"рисунок, картинка, иллюстрация, фотография"
推,tuī,"толкать; перекладывать, сваливать; отложить (напр., собрание); отказываться; отклонять"
腿,tuǐ,нога
外地,wàidì,"иные края, территория за пределами какогото места"
外卖,wàimài,"еда на вынос, еда с доставкой на дом"
完,wán,заканчивать (посглагольная результативная морфема)
完成,wán chéng,"закончить[ся], завершить[ся]; выполнить; совершить; выполнение расчёта"
完全,wánquán,полный; целый; совершенный; законченный; полностью; целиком; совсем
晚安,wǎn'ān!,Спокойной ночи
晚报,wǎnbào,вечерняя газета
晚餐,wǎncān,ужин
晚会,wǎnhuì,"вечеринка, праздничный вечер"
碗,wǎn,"плошка, пиала; в том числе и как счетное слово"
万,wàn,"10 000, десять тысяц"
网,wǎng,"сущ./сч.слово: сеть, сетка, тенёта, силок; невод; улов с одной сети; поймать сетью"
网球,wǎngqiú,теннис; теннисный мяч
