Слово,Пиньинь,Перевод слова
['闭幕式'],['bìmùshì'],['церемония закрытия']
['边境'],['biānjìng'],"['граница; пограничная полоса, пограничная территория; окраина; пограничный; окраинный']"
['编辑'],['biānjí'],['редактировать; составлять (напр. сборник); редактор']
['编辑'],['biānji'],['редактор']
['变动'],['biàndòng'],['изменяться; изменение']
['便利'],['biànlì'],"['удобный, выгодный, удачный, благоприятный; удобство; благоприятствовать, способствовать']"
['便条'],['biàntiáo'],"['краткое неофициальное письмо, записка']"
['便于'],['biànyú'],"['удобный; быть благоприятным, подстраиваться']"
['宾馆'],['bīnguǎn'],"['гостиница, постоялый двор']"
['饼'],['bǐng'],"['круглая лепешка, блин; предмет в форме плоской лепешки']"
['饼干'],['bǐnggān'],['печенье']
['病毒'],['bìngdú'],['вирус (заболевание); вирусный; вирусная программа']
['玻璃'],['bōli'],"['стекло, стеклянный, стекольный']"
['博客'],['bókè'],['блог']
['博览会'],['bólǎnhuì'],['выставка']
['博士'],['bóshì'],['доктор наук']
['博物馆'],['bówùguǎn'],['музей']
['薄弱'],['bóruò'],"['слабый, немощный; хрупкий, тонкий']"
['不顾'],['búgù'],"['не обращать внимания; пренебрегать; невзирая на, несмотря на']"
['不利'],['búlì'],"['неблагоприятный, невыгодный']"
['不耐烦'],['bú nàifán'],['потерять терпение; нетерпение; нетерпеливый']
['不幸'],['búxìng'],"['несчастный, невезучий, печальный; беда, несчастье']"
['不易'],['búyì'],"['нелегкий, трудный; не меняться']"
['补偿'],['bǔcháng'],['возмещать; компенсировать; компенсация']
['补贴'],['bǔtiē'],['материальная помощь; пособие; субсидировать; субсидия']
['不曾'],['bùcéng'],['никогда']
['不得了'],['bùdéliǎo'],"['крайне; в высшей степени; страшно, беда']"
['不敢当'],['bùgǎndāng'],"['Не заслужил! Не достоин! (ответ на комплимент) Что Вы, помилуйте! Не смею согласиться!']"
['不良'],['bùliáng'],"['плохой, дурной, вредный']"
['不免'],['bùmiǎn'],['не избежать; неизбежно; волей-неволей приходится']
['不能不'],['bù néng bù'],"['быть обязанным, быть вынужденным, невозможно не, нельзя не']"
['不时'],['bùshí'],['время от времени; временами; иногда; непредвиденный']
['不停'],['bùtíng'],"['без остановки, непрерывно']"
['不许'],['bùxǔ'],"['нельзя; не разрешается, не следует']"
['不止'],['bùzhǐ'],"['безостановочно; беспрестанно; не менее, не меньше']"
['不足'],['bùzú'],['недостаточно; не хватает; нехватка; не стоит']
['部位'],['bùwèi'],['расположение; место']
['猜'],['cāi'],['угадывать']
['猜测'],['cāicè'],"['угадывать, предполагать; догадка, предположение']"
['裁判'],['cáipàn'],"['право судить; юрисдикция; выносить судебное решение; судебный приговор; спорт судить спортивное соревнование; арбитр, рефери']"
['采购'],['cǎigòu'],"['производить закупки, закупать; закупки, заготовки; заготовительный, закупочный']"
['彩票'],['cǎipiào'],['лотерейный билет']
['餐馆'],['cānguǎn'],['ресторан']
['餐厅'],['cāntīng'],"['столовая, ресторан']"
['餐饮'],['cānyǐn'],['еда и напитки']
['草原'],['cǎoyuán'],"['луг, степь']"
['册'],['cè'],"['сущ./сч.слово тетрадь, альбом, папка; список, реестр, ведомость']"
['层次'],['céngcì'],['последовательность; порядок; уровень; инстанция']
['叉'],['chā'],"['вилка, вилы; вилкообразный; брать вилкой, протыкать']"
['叉子'],['chāzi'],['вилка']
['差别'],['chābié'],['разница; отличие; дифференциальный']
['差距'],['chājù'],"['расхождение, разница, различие; отклонение']"
['插'],['chā'],['втыкать; всовывать; вставлять']
['查询'],['cháxún'],"['спрашивать, узнавать, наводить справки']"
['差点儿'],['chà( yī) diǎnr'],['разница; отличие; отличаться от']
['拆'],['chāi'],"['разбирать; демонтировать; разряжать, ломать; разрушать']"
['拆除'],['chāichú'],"['разбирать, демонтировать, сносить']"
['产业'],['chǎnyè'],['промышленный; производственный; производство; имущество']
['长度'],['chángdù'],['длина']
['长寿'],['chángshòu'],['долголетие']
['肠'],['cháng'],['кишка']
['尝'],['cháng'],"['пробовать (на вкус), пробовать на опыте; в прошлом; когдато']"
['尝试'],['chángshì'],"['пробовать, пытаться; попытка, опыт']"
['厂长'],['chǎngzhǎng'],['директор завода (фабрики)']
['场面'],['chǎngmiàn'],['ситуация; сцена; картина']
['倡导'],['chàngdǎo'],['выступить с инициативой; быть инициатором; инициатива']
['超越'],['chāoyuè'],"['превосходить, превышать; переходить; выходить за (рамки)']"
['车主'],['chēzhǔ'],['владелец транспортного средства']
['称'],['chēng'],"['звать, называть, именовать, величать']"
['称号'],['chēnghào'],"['наименование, название; звание, титул']"
['成本'],['chéngběn'],"['себестоимость, расходы, затраты, издержки']"
['成交'],['chéng jiāo'],['совершить торговую сделку; произвести обмен']
['成效'],['chéngxiào'],"['результат, эффект, успех']"
['成语'],['chéngyǔ'],"['чэнъюй, идиома, фразеологизм']"
['承办'],['chéngbàn'],['предпринимать; брать подряд на (работу); подряд']
['城里'],['chénglǐ'],['в городе']
['乘'],['chéng'],['ехать на чём-либо; воспользоваться; (мат.) умножать; умножение']
['乘车'],['chéngchē'],"['ехать (в автомобиле), садиться в автобус и т.д.']"
['乘客'],['chéngkè'],['пассажир']
['乘坐'],['chéngzuò'],['ехать']
['吃力'],['chīlì'],"['напрягать силы; трудоёмкий; затруднительный; затруднённый; с трудом, через силу']"
['池子'],['chízi'],['пруд; общий бассейн ( в бане); партер; танцевальная площадка ']
['迟'],['chí'],"['медленный; поздний, запоздалый']"
['冲动'],['chōngdòng'],['импульс; порыв; поддаваться порыву']
['冲突'],['chōngtū'],"['столкновение; конфликт, столкнуться']"
['充足'],['chōngzú'],['достаточный; полный; зажиточный; быть в избытке']
['愁'],['chóu'],"['беспокоиться о; грусть, печаль']"
['丑'],['chǒu'],['некрасивый; уродливый; подлый; шут']
['臭'],['chòu'],['вонючий; тухлый; протухнуть; дурной']
['出版'],['chūbǎn'],['издавать; издание; печать']
['出差'],['chūchāi'],"['отправляться в командировку, командировка']"
['出汗'],['chūhàn'],"['потеть, покрываться испариной']"
['出于'],['chūyú'],"['из-за, исходить из']"
['初期'],['chūqī'],"['начальный период, начальный этап, начальная фаза']"
['除非'],['chúfēi'],"['за исключением, кроме, кроме, как...; без; если только не...; лишь при наличии; разве только...']"
['除夕'],['chúxī'],['канун Нового года ( досл. изгнать монстра Xi)']
['厨房'],['chúfáng'],['кухня']
['处罚'],['chǔfá'],"['налагать взыскание, подвергать наказанию, наказывать; наказание']"
['处分'],['chǔfèn'],"['определить меру наказания; наказать; наказание, взыскание']"
['处在'],['chǔzài'],['быть / находиться в; пребывать в']
['传达'],['chuándá'],['передавать; доложить']
['传递'],['chuándì'],"['передавать, отправлять']"
['传真'],['chuánzhēn'],['факс; передавать факс']
['窗帘'],['chuānglián'],['штора; гардина; занавеска']
['闯'],['chuǎng'],['ворваться; вломиться; идти напролом']
['创立'],['chuànglì'],"['создавать, учреждать; учредительный']"
['辞典'],['cídiǎn'],['словарь']
['辞职'],['cí zhí'],"['отказываться от должности, подавать в отставку, увольняться; увольнение']"
['此后'],['cǐhòu'],"['после этого, с той поры, отныне, впредь']"
['此刻'],['cǐkè'],"['это мгновение, этот момент']"
['此时'],['cǐshí'],['этот момент']
['聪明'],['cōngming'],['умный']
['从而'],['cóngér'],"['тем самым, вследствие этого, после чего, отсюда (следует)']"
['从中'],['cóngzhōng'],"['изнутри, из этого, отсюда']"
['脆'],['cuì'],"['хрупкий, ломкий; слабый, нежный; хрустящий; чистый, звонкий']"
['存款'],['cúnkuǎn'],"['вклад (в банке), депозит; делать вклад, размещать в депозиты']"
['寸'],['cùn'],"['cущ. сч.слово цунь (мера длины, составляет около 3,33 см), дюйм; кусочек; чуточка; минутка']"
['达成'],['dáchéng'],"['добиться, достигнуть, дойти до, выполнить']"
['答'],['dá'],"['отвечать, давать ответ; отзываться, откликаться; ответный']"
['答复'],['dáfù'],['ответить; ответ']
['打'],['dǎ'],"['с, из, от, через']"
['打扮'],['dǎban'],['наряжать(ся); переодеваться; наряд; наносить макияж']
['打包'],['dǎ bāo'],"['упаковывать, пакетировать']"
['打击'],['dǎjī'],['бить; ударять; бить ; нападать; нападки']
['打架'],['dǎ jià'],['драться; драка']
['打扰'],['dǎrǎo'],"['тревожить, беспокоить']"
['大胆'],['dàdǎn'],"['смелый, храбрый; смело, храбро']"
['大都'],['dàdū'],['большей частью; в основном; главным образом']
['大纲'],['dàgāng'],"['план, тезисы']"
['大伙儿'],['dàhuǒr'],"['(все) присутствующие; вся компания; всей компанией, сообща']"
['大奖赛'],['dàjiǎngsài'],['гран-при (спортивное соревнование)']
['大脑'],['dànǎo'],['мозг']
['大事'],['dàshì'],"['большое событие, важный вопрос; с размахом']"
['大厅'],['dàtīng'],"['зал, холл, вестибюль, фойе']"
['大象'],['dàxiàng'],['слон']
['大熊猫'],['dàxióngmāo'],['большая панда']
['大于'],['dàyú'],"['быть больше, чем']"
['大致'],['dàzhì'],['в общем и целом; примерно; приблизительно']
['呆'],['dāi'],"['глупый, тупой; неподвижный, неживой; задерживаться, находиться; пребывать']"
['待'],['dāi'],"['задержаться, пробыть, пребывать в...']"
['代价'],['dàijià'],"['цена, ценой; компенсация; эквивалент']"
['代理'],['dàilǐ'],['замещать; исполнять обязанности; агент; доверенное лицо; представлять интересы']
['带有'],['dàiyǒu'],"['иметь при себе, быть снабжённым']"
['贷款'],['dàikuǎn'],['кредитовать; получать кредит; ссуда; кредит']
['单一'],['dānyī'],"['единственный, единый']"
['胆'],['dǎn'],"['храбрость, смелость, отвага']"
['胆小'],['dǎnxiǎo'],"['трусливый, робкий']"
['蛋糕'],['dàngāo'],['торт']
['当场'],['dāngchǎng'],"['тут же, немедленно, сразу же; на месте, на сцене действия']"
['当代'],['dāngdài'],"['это время; современный, настоящий']"
['当年'],['dāngnián'],"['в те дни, в те годы, в прошлом']"
['当前'],['dāngqián'],['перед кем-либо/чем-либо; ныне; текущий; настоящий']
['当选'],['dāngxuǎn'],['быть избранным; избраться']
['挡'],['dǎng'],"['преграждать, заграждать; загораживать; закрывать; сопротивляться, давать отпор']"
['到来'],['dàolái'],"['приходить, прибывать, наступать (напр., о празднике)']"
['倒是'],['dàoshì'],"['1) впрочем; в конце концов, всё же; зато, однако 2) в уступительных конструкциях с последующим: -то; конечно']"
['道德'],['dàodé'],"['нравственность; этика; мораль, добродетель']"
['得了'],['déle'],"['готово; быть законченным (завершённым); добыл, получил; ладно!, довольно!, хватит!']"
['得以'],['déyǐ'],"['мочь, иметь возможность']"
['等候'],['děnghòu'],"['ожидание, ожидать']"
['等级'],['děngjí'],"['степень, уровень; разряд, категория; класс, ранг, чин']"
['低于'],['dīyú'],"['быть ниже, чем']"
['地带'],['dìdài'],"['полоса, область, зона']"
['地形'],['dìxíng'],"['рельеф, ландшафт']"
['地震'],['dìzhèn'],['землетрясение; сейсмический']
['递'],['dì'],['передавать; вручать; поочерёдно; последовательно']
['递给'],['dìgěi'],"['передавать, подавать']"
['典礼'],['diǎnlǐ'],['торжественная церемония; торжество']
['点燃'],['diǎnrán'],"['зажигать, воспламенять, воодушевлять']"
['电池'],['diànchí'],"['батарея, батарейка, аккумулятор']"
['电饭锅'],['diànfànguō'],['электрическая рисоварка']
['电子版'],['diànzǐbǎn'],['электронное издание']
['调动'],['diàodòng'],"['перемещать; переводить; перебрасывать, мобилизовать']"
['丢'],['diū'],['потерять; утратить; бросать; выбрасывать']
['动机'],['dòngjī'],"['мотив, импульс, побуждение']"
['动手'],['dòng shǒu'],"['приступить, взяться, приняться (за работу); трогать (руками)']"
['动态'],['dòngtài'],"['обстановка, ситуация; тенденции, развитие, события, движение, динамика']"
['动员'],['dòngyuán'],['обилизовывать; приводить в боевую готовность; мобилизация']
['冻'],['dòng'],"['замерзать; покрываться льдом; застывать; охлаждать, морозить, замораживать']"
['洞'],['dòng'],['пещера; яма; нора; дыра; отверстие']
['豆制品'],['dòuzhìpǐn'],['бобовые продукты']
['毒'],['dú'],"['яд; наркотик; дурное влияние; ядовитый; зловещий, дурной; отравить']"
['堆'],['duī'],['наваливать; складывать (в кучу); куча; груда']
['对立'],['duìlì'],"['противостояние; противоположный, противополагать, противопоставлять']"
['对应'],['duìyìng'],"['соответствовать, корреспондировать, соответствие, корреспонденция, гомологический, соответственный']"
['吨'],['dūn'],['тонна']
['朵'],['duǒ'],"['сч. слово для цветов, облаков и др.; гроздь']"
['躲'],['duǒ'],"['избегать, прятаться']"
['儿女'],['érnǚ'],"['сын и дочь, дети']"
['耳朵'],['ěrduo'],"['уши, ухо']"
['二维码'],['èrwéimǎ'],"['двухмерный штрих-код, QR код']"
['发布'],['fābù'],['опубликовать; издать; распространять']
['发觉'],['fājué'],"['обнаружить, раскрыть, заметить; обнаружение']"
['发射'],['fāshè'],['запустить; выстрелить; (физ.) испускать; излучать; эмиссия']
['发行'],['fāxíng'],['издавать; выпускать; эмитировать']
['罚'],['fá'],['наказывать']
['罚款'],['fákuǎn'],"['штраф, пени; штрафовать']"
['法规'],['fǎguī'],"['закон, нормативный акт']"
['法制'],['fǎzhì'],"['правовая система, законодательство']"
['繁荣'],['fánróng'],['процветать; процветание; расцвет; подъём; способствовать процветанию']
['返回'],['fǎnhuí'],"['возвратиться, вернуться назад']"
['防治'],['fángzhì'],['лечебно-профилактические меры; профилактика']
['放大'],['fàngdà'],"['приближать (напр. изображение на компьютере), увеличивать (напр. фотографию); увеличивать']"
['放弃'],['fàngqì'],"['отказаться, отбросить; оставить; утратить']"
['分成'],['fēnchéng'],"['делить на, разбивать на; процентная доля']"
['分解'],['fēnjiě'],"['распадаться, разлагаться; распад, расщеплять; раскалывать; анализировать; анализ; рассеивать; разъяснять, раскрывать (по пунктам)']"
['分类'],['fēn lèi'],"['классифицировать, сортировать']"
['分离'],['fēnlí'],['отделять от; расставаться (на долгое время)']
['分析'],['fēnxī'],['анализировать; аналитический; анализ']
['分享'],['fēnxiǎng'],['делиться']
['丰收'],['fēngshōu'],['богатыйурожай']
['风度'],['fēngdù'],['превосходное поведение; хорошие манеры']
['风光'],['fēngguāng'],"['вид, пейзаж, ландшафт; престижный, впечатляющий; наслаждаться жизнью, красиво жить']"
['封'],['fēng'],"['закрывать, запечатывать']"
['疯'],['fēng'],"['сумасшедший, безумный; буйный, необузданный; резвиться, сходить с ума; не плодоносить']"
['疯狂'],['fēngkuáng'],"['безумие, умопомешательство, сумасшествие; бешенство; сумасшедший, безумный']"
['扶'],['fú'],"['поддерживать; подпирать; опираться (руками); помогать, выручать']"
['服从'],['fúcóng'],"['слушаться, повиноваться; подчиняться, повиновение,  подчинение']"
['幅'],['fú'],"['полотнище; свиток; сч.слово для картин, плакатов)']"
['幅度'],['fúdù'],['амплитуда; размах; масштаб']
['福利'],['fúlì'],"['благосостояние, материальные блага']"
['辅助'],['fǔzhù'],['помогать; помощь; вспомогательный; подсобный']
['负责人'],['fùzérén'],['ответственное лицо']
['附件'],['fùjiàn'],['приложение; прилагаемые документы']
['改革'],['gǎigé'],"['реформировать, обновлять, изменять; преобразование, реформа']"
['干脆'],['gāncuì'],['прямой; четкий; начистоту; попросту']
['干扰'],['gānrǎo'],"['помеха, препятствие; вмешательство; беспокоить, мешать, препятствовать']"
['干预'],['gānyù'],['вмешиваться; лезть в чужие дела; вмешательство']
['感想'],['gǎnxiǎng'],['впечатления; переживания; мысли']
['钢笔'],['gāngbǐ'],"['ручка, перьевая ручка']"
['钢琴'],['gāngqín'],"['фортепиано, пианино']"
['高大'],['gāodà'],"['высокий и большой; возвышенный, благородный']"
['高度'],['gāodù'],"['высота, вышина']"
['高跟鞋'],['gāogēnxié'],['туфли на высоком каблуке']
['高温'],['gāowēn'],['высокая температура']
['高于'],['gāoyú'],"['больше, выше, превосходящий']"
['高原'],['gāoyuán'],"['плато, плоскогорье']"
['搞'],['gǎo'],"['делать; заниматься; работать; раздобывать, получать; уделять внимание']"
['搞好'],['gǎohǎo'],"['хорошо сделать; выполнить;, получить хороший результат']"
['歌曲'],['gēqǔ'],['песня']
['隔壁'],['gébì'],['по соседству (через стену); соседний; сосед']
['个儿'],['gèr'],"['размер, высота, рост']"
['跟前'],['gēnqián'],"['в окрестности, в округе; рядом; начало; впереди; перед; около']"
['跟随'],['gēnsuí'],['следовать за; идти с; сопровождать']
['更换'],['gēnghuàn'],"['менять, заменять']"
['更新'],['gēngxīn'],['обновлять(ся); обновление; регенерация; реформировать']
['工艺'],['gōngyì'],"['декоративно-прикладное искусство, промышленное искусство; технология']"
['工作日'],['gōngzuòrì'],"['рабочий день, будний день']"
['公告'],['gōnggào'],['сообщение; декларация; манифест; доводить до всеобщего сведения']
['公认'],['gōngrèn'],['общепризнанный; получить всеобщее признание']
['公式'],['gōngshì'],"['формула, схема']"
['公正'],['gōngzhèng'],"['справедливый, беспристрастный, нелицеприятный; правильный, точный; справедливость']"
['共计'],['gòngjì'],"['общий итог, общая сумма; в общем итоге, общим счётом, итого, подводить итог']"
['共享'],['gòngxiǎng'],['делиться; наслаждаться вместе']
['沟'],['gōu'],"['паз, борозда; канава; овраг, лощина']"
['沟通'],['gōutōng'],"['общаться, связываться, соединяться; сообщение, связь, контакт']"
['估计'],['gūjì'],['предполагать; оценивать; прикидывать; оценка']
['古老'],['gǔlǎo'],['древний']
['鼓'],['gǔ'],"['сущ./сч.слово барабан; бить в, играть на (ударных); вдохновлять, воодушевлять; (ночная) стража']"
['鼓励'],['gǔlì'],"['поощрять, стимулировать, воодушевлять']"
['鼓掌'],['gǔ zhǎng'],"['хлопать в ладоши; аплодировать; аплодисменты, рукоплескания']"
['顾问'],['gùwèn'],"['советник, консультант']"
['怪'],['guài'],['винить; удивляться']
['关怀'],['guānhuái'],['заботиться о ком-либо; забота']
['关键'],['guānjiàn'],"['главный пункт, основное звено, суть; ключевой']"
['冠军'],['guànjūn'],"['чемпион, выдающийся человек, лидер']"
['光荣'],['guāngróng'],['слава; честь и слава; почёт; почётный; славный']
['光线'],['guāngxiàn'],"['свет, луч']"
['广'],['guǎng'],"['широкий, обширный']"
['广泛'],['guǎngfàn'],['обширный; широкий; широко']
['规划'],['guīhuà'],['план; планирование; планировать']
['鬼'],['guǐ'],"['дух, призрак']"
['柜子'],['guìzi'],['шкаф']
['滚'],['gǔn'],"['катиться, вертеться, вращаться; бурлить, кипеть; выкатиться вон, убраться восвояси']"
['锅'],['guō'],['котёл; кастрюля; сковорода']
['国籍'],['guójí'],"['подданство, гражданство']"
['国民'],['guómín'],"['гражданин, подданный']"
['过度'],['guòdù'],['неумеренный; излишний; превышать норму; переходить меру']
['过敏'],['guòmǐn'],"['непереносимость, аллергия']"
['过于'],['guòyú'],"['превышать, превосходить; чрезмерно предаваться; чрезмерно, чересчур, слишком']"
['害'],['hài'],"['вред, бедствие; причинять вред, страдать от']"
['汗'],['hàn'],['пот; испарина; потеть']
['好运'],['hǎoyùn'],"['удача, везение, счастливая судьба']"
['号召'],['hàozhào'],"['звать, призывать; призыв']"
['合并'],['hébìng'],"['соединять, объединять, сливать, аннексия']"
['合成'],['héchéng'],"['составлять; слагаться из чего-либо, синтез, составной, синтетический']"
['盒'],['hé'],['сущ./сч.слово коробка; шкатулка; футляр']
['盒饭'],['héfàn'],"['упакованный ланч, еда в контейнере']"
['盒子'],['hézi'],['ящик; коробка с крышкой; футляр']
['贺卡'],['hèkǎ'],['поздравительная открытка']
['恨'],['hèn'],['ненавидеть; презирать']
['猴'],['hóu'],['обезьяна']
['后悔'],['hòuhuǐ'],"['сожалеть, раскаиваться; раскаяние']"
['胡同儿'],['hútòng ér'],"['переулок, проезд']"
['胡子'],['húzi'],"['борода, усы']"
['虎'],['hǔ'],['тигр']
['华语'],['huáyǔ'],['китайский язык']
['滑'],['huá'],['скользить; гладкий; скользкий']
['化石'],['huàshí'],['окаменелость; окаменение; ископаемые органические остатки; окаменеть']
['划分'],['huàfēn'],"['разграничивать, разбивать на..., делить, классифицировать; разграничение']"
['画面'],['huàmiàn'],['изображение; кадр; проекция']
['环节'],['huánjié'],"['звено (цепи), сегмент']"
['慌'],['huāng'],"['терять самообладание; теряться, быть в панике; волноваться, беспокоиться; быть в замешательстве; растерянный, нервный']"
['慌忙'],['huāngmáng'],"['торопливо, поспешно, в спешке']"
['灰色'],['huīsè'],['серый цвет']
['恢复'],['huīfù'],['восстановление; возобновление; восстанавливать; возобновлять']
['回报'],['huíbào'],['предоставить отчёт; отчитаться; отблагодарить; отомстить; отплатить']
['回避'],['huíbì'],"['избегать, уклоняться; отклонять; отклонение']"
['回顾'],['huígù'],['оглянуться назад; бросать ретроспективный взгляд']
['回收'],['huíshōu'],"['утилизация, переработка; возвращать назад; регенерация']"
['回头'],['huítóu'],"['потом, позже; поворачивать голову, оглядываться; раскаиваться']"
['回信'],['huíxìn'],"['отвечать на письмо, писать в ответ']"
['回忆'],['huíyì'],['вспоминать; воспоминание']
['汇款'],['huì kuǎn'],['переводить деньги; денежный перевод']
['会谈'],['huìtán'],"['беседовать с; беседа, переговоры']"
['活力'],['huólì'],['жизненная сила (энергия); живучесть; жизненность; жизнеспособность']
['活泼'],['huópo'],['живой; бойкий; подвижный; активный']
['火柴'],['huǒchái'],['спички']
['火腿'],['huǒtuǐ'],['ветчина']
['火灾'],['huǒzāi'],['пожар']
['或是'],['huòshì'],"['может быть; возможно, возможно является; или, либо; (в удвоении) и... и...']"
['机器人'],['jīqìrén'],['робот']
['机制'],['jīzhì'],['механизм']
['肌肉'],['jīròu'],['мышцы; мускулы']
['基地'],['jīdì'],"['база, опорный пункт; основной центр']"
['基金'],['jījīn'],['фонд']
['即使'],['jíshǐ'],"['пусть даже, если даже, допустим даже']"
['集团'],['jítuán'],"['группировка, клика; фракция; объединение, блок']"
['挤'],['jǐ'],"['давить, сжимать; толпиться, тесниться; толкать(ся); отталкивать, исключать']"
['记忆'],['jìyì'],['вспоминать; помнить; память; воспоминание']
['技能'],['jìnéng'],"['навык, умение, техника']"
['继承'],['jìchéng'],['наследовать; преемствовать; продолжать']
['加热'],['jiā rè'],['нагревать']
['加上'],['jiāshàng'],"['класть в; добавлять, прибавлять; к тому же, вдобавок, плюс к этому']"
['加速'],['jiāsù'],['ускорять(ся)']
['加以'],['jiāyǐ'],['используется перед многосложными глаголами и указывает способ воздействия на вышеупомянутый объект']
['夹'],['jiā'],"['сжимать, сдавливать, стискивать, зажимать; нести под мышкой; зажим, крепление; папка, бумажник, пакет']"
['甲'],['jiǎ'],"['первый, лучший, быть первым; раковина; ноготь; панцырь; щит; броня']"
['价'],['jià'],['цена; ценность; (хим.) валентность']
['驾驶'],['jiàshǐ'],"['управлять, вести, пилотировать, водить; вождение; управление']"
['驾照'],['jiàzhào'],['водительские права']
['坚定'],['jiāndìng'],['твёрдый; стойкий; укреплять']
['肩'],['jiān'],['плечо']
['艰苦'],['jiānkǔ'],"['мучительный, тяжёлый; несчастный; страждущий']"
['艰难'],['jiānnán'],"['трудный; тягостный; трудности, лишения']"
['检验'],['jiǎnyàn'],"['осматривать, проверять; контролировать; испытывать']"
['减轻'],['jiǎnqīng'],"['облегчать, уменьшать']"
['剪'],['jiǎn'],"['подстригать, обрезать (ножницами)']"
['剪刀'],['jiǎndāo'],['ножницы']
['剪子'],['jiǎnzi'],['ножницы']
['间接'],['jiànjiē'],"['непрямой, косвенный; раздельный, посреднический; комиссионный']"
['建造'],['jiànzào'],"['строить, сооружать; строительство, сооружение']"
['建筑'],['jiànzhù'],"['строить; сооружать; здание, строение']"
['健全'],['jiànquán'],"['здоровый; оздоровить; укрепить; здравый, толковый']"
['键'],['jiàn'],['клавиша; (хим.) связь']
['键盘'],['jiànpán'],['клавиатура']
['将'],['jiāng'],"['служ. наречие, указывает на возможность или вероятность совершения действия в будущем; в будущем, в дальнейшем, вот-вот (часто остаётся без перевода, глагол же переводится формами будущего времени); только, только; почти, близко ']"
['将要'],['jiāngyào'],['в будущем; вот-вот; употребляется для обозначения намерения или будущего времени']
['奖励'],['jiǎnglì'],['поощрять; премировать; награждать']
['交代'],['jiāodài'],"['приказывтаь, поручать; передать; сдать; разъяснять; доводить до сознания; сделать признание; объяснять, комментировать']"
['郊区'],['jiāoqū'],['пригород; пригородные районы']
['胶带'],['jiāodài'],"['скотч, клейкая лента']"
['胶水'],['jiāoshuǐ'],['клей']
['脚步'],['jiǎobù'],"['шаг, походка, поступь']"
['接触'],['jiēchù'],"['соприкасаться, сближаться, сходиться; контакт, общение']"
['接连'],['jiēlián'],"['непрерывно, подряд, без перерыва']"
['解除'],['jiěchú'],"['устранять, снимать, увольнять; изгонять; отказаться от; отменить; лишать']"
['解放'],['jiěfàng'],['освобождать; освобождение; освободительный']
['戒'],['jiè'],"['остерегаться; быть бдительным; держаться осторожно(осмотрительно, внимательно); осторожный, внимательный; бросить (дурную привычку); обет, зарок']"
['届'],['jiè'],"['подходить, наступать (о сроке); точно в (указанный срок) срок; созыв; сессия; выпуск']"
['今日'],['jīnrì'],"['сегодняшний день; сегодня; сейчас, теперь, ныне; современный, сегодняшний, нынешний; в настоящее время']"
['尽管'],['jǐnguǎn'],"['несмотря на, хотя (бы даже), невзирая на; смело, нестесняясь']"
['紧紧'],['jǐnjǐn'],['вплотную; крепко']
['尽可能'],['jìn kěnéng'],"['как только можно, насколько возможно']"
