character,pinyin,definitions
地,dì,"страна, государство; местность; земной, земля; Земля (планета)"
地点,dìdiǎn,(географический) пункт; точка; место
地方,dìfang,"место, местоположение, местонахождение; пункт"
地上,dìshang,на земле; на полу
地图,dìtú,карта
弟弟｜弟,"dìdi, dì",младший брат
第,dì,указывает на порядковое значение следующегочислительного. Напр. 第二 второй
点,diǎn,"час; точка; немного, капля"
电,diàn,электричество
电话,diànhuà,телефон; (телефонный) звонок
电脑,diànnǎo,компьютер
电视,diànshì,"телевидение, телевизор"
电视机,diànshìjī,телевизор
电影,diànyǐng,"фильм, кино"
电影院,diànyǐngyuàn,кинотеатр
东,dōng,"восток, восточный"
东边,dōngbian,восточная сторона
东西,dōngxi,"вещь, вещи, предмет"
动,dòng,"двигаться, действовать; поддаваться перемещению"
动作,dòngzuò,движение; телодвижение; действовать; действие
都,dōu,"все; наречие, указывающее на то, что действие распространяется на все подлежащие или на все обстоятельства"
读,dú,"читать, учиться, читать вслух"
读书,dú shū,"читать (книгу); ходить в школу, учиться"
对,duì,"правильный, верный"
对不起,duìbuqǐ,"извините, виноват, подводить"
多,duō,"многий, многочисленный"
多少,duōshǎo,сколько?
饿,è,голодный
儿子,érzi,сын
二,èr,"2, два, глупый"
饭,fàn,"еда, пища; вареный рис, стол"
饭店,fàndiàn,"кафе, ресторан"
房间,fángjiān,комната
房子,fángzi,"дом, здание"
放,fàng,"класть, положить"
放假,fàng jià,"отпуск, каникулы; распускать на каникулы/ в отпуск"
放学,fàng xué,заканчивать занятия; выходить на школьные каникулы
飞,fēi,летать
飞机,fēijī,самолет
非常,fēicháng,"очень, крайне"
分,fēn,минута; процент; делить
风,fēng,"ветер; продувать, сушить на ветру"
干,gān,"сухой, сушёный, насухо, досуха"
干净,gānjìng,чистый
干,gàn,"ствол, стебель; магистраль; основной, главный, магистральный; работать, трудиться"
干什么,gàn shénme,"зачем, для чего (разг.)"
高,gāo,высокий
高兴,gāoxìng,радостный
告诉,gàosu,"сказать, оповестить проинформировать,"
哥哥｜哥,"gēge, gē",старший брат
歌,gē,"песня, мелодия; петь; хвалить, воспевать"
个,gè,универсальное счетное слово
给,gěi,"давать; для (предлог, указывает адресат действия, часто переводится дательным падежом)"
跟,gēn,"с , следовать за..."
工人,gōngrén,рабочий
工作,gōngzuò,"работать; задание, работа"
关,guān,закрывать; затворять; выключать (технику); (о компании) закрываться
关上,guānshàng,закрыть
贵,guì,"дорогой; драгоценный, уважаемый"
国,guó,"государство, страна, нация"
国家,guójiā,страна
国外,guówài,"заграница, зарубежные страны, за рубежом; внешний, иностранный"
过,guò,проходить; переходить через; пересекать (глаглпредлог); отмечать
还,hái,"ещё, всё ещё (о продолжающемся действии, состоянии), к тому же"
还是,háishi,все еще...; или
还有,hái yǒu,"еще есть, все еще имеется; а также, и"
孩子,háizi,ребенок
汉语,hànyǔ,китайский язык
汉字,hànzì,китайский иероглиф
好,hǎo,"хороший; добрый, дружелюбный; здоровый"
好吃,hǎochī,вкусный (про еду; букв. хорошо + кушать)
好看,hǎokàn,"приятный, красивый; хорошо выглядеть"
好听,hǎotīng,"приятный для слуха, мелодичный"
好玩儿,hǎowánr,"забавный, интересный"
号,hào,"число, день (в датах)"
喝,hē,пить
和,hé,"и (союз), с (кем-либо)"
很,hěn,очень
后,hòu,"после; задняя часть, сзади"
后边,hòubian,"за, позади, задняя сторона"
后天,hòutiān,послезавтра
花,huā,цветок
话,huà,"слова, речь, язык, фраза; диалект"
坏,huài,"плохой, ломаться, портиться, сломанный"
还,huán,"возвращаться, приходить домой; отходить, отступать (назад)"
回,huí,"возвращаться; приходить домой , восстанавливаться"
回答,huídá,"отвечать, ответ"
回到,huídào,"возвратиться, вернуться (к чему-либо)"
回家,huíjiā,возвращаться домой
回来,huí lái,"возвращаться, приходить обратно"
回去,huí qù,"возвращаться (в направлении от говорящего); глагольный суффикс, который указывает на обратное направление действия"
会,huì,"мочь, уметь; собрание"
火车,huǒchē,поезд
机场,jīchǎng,аэропорт
机票,jīpiào,"авиабилет, билет на самолет"
鸡蛋,jīdàn,куриное яйцо
几,jǐ,несколько; сколько? какой по счету?
记,jì,"помнить; отмечать, записывать"
记得,jìde,помнить
记住,jìzhu,"запоминать, учить наизусть, держать в памяти"
家,jiā,"семья; счетное слово для магазинов, ресторанов, отелей и т.п."
家里,jiālǐ,"в доме, дома; внутренняя часть; внутри; внутренний"
家人,jiārén,"член семьи, семья"
间,jiān,послелог времени или места - между; среди; в течение; в; комната; также сч. сл. для комнат
见,jiàn,видеть; встречаться; также модификатор результативных глаголов
见面,jiàn miàn,"увидеться, встретиться"
教,jiāo,"обучать, учить"
叫,jiào,"кричать; называть(ся); звать, вызывать"
教学楼,jiàoxuélóu,"учебное здание, учебный корпус"
姐姐｜姐,"jiějie, jiě",старшая сестра
介绍,jièshào,"знакомить с кем-либо/чем-либо; представлять, рассказывать про ч-л"
今年,jīnnián,этот год
今天,jīntiān,сегодня; нынешний; настоящее (время)
进,jìn,"входить (направит. глагол, указывает на направления действия внутрь)"
进来,jìn lái,"входить, заходить"
进去,jìn qù,входить
九,jiǔ,"9, девять"
就,jiù,"именно, тогда, как раз, сразу же, именно, тотчас, и...(наречие)"
觉得,juéde,"думать, считать, чувствовать"
开,kāi,"открывать, начинать; водить (авто); включать"
开车,kāi chē,"водить машину, ехать"
开会,kāi huì,проводить собрание
开玩笑,kāiwánxiào,"шутить, подшучивать, разыгрывать"
看,kàn,"смотреть, просматривать; читать (про себя)"
看病,kàn bìng,обращаться к врачу; осматривать больного
看到,kàndào,увидеть
看见,kàn jiàn,"видеть, увидеть"
考,kǎo,"экзаменовать, тестировать; сдавать экзамен; задавать сложный вопрос"
考试,kǎo shì,экзамен
渴,kě,испытывать жажду
课,kè,"урок, дисциплина"
课本,kèběn,учебник
课文,kèwén,(учебный) текст
口,kǒu,"рот; сч. слово для объектов - людей, колодцев, посуды, животных и пр."
块,kuài,"кусок, лоскут (в том числе сч. слово); единица какойлибо валюты; сч. слово для денег"
快,kuài,быстрый
来,lái,"приходить, прибывать"
来到,láidào,приходить; прибывать
老,lǎo,старый; прежний; опытный
老人,lǎorén,"пожилой человек, старик"
老师,lǎoshī,учитель
了,le,"1. после глагола или прилагательного означает завершение действия или изменние состояния 2. в конце предложения или паузы означает перемену, создание новой ситуации"
累,lèi,"уставший, уставать"
冷,lěng,"холодный, холодно"
里,lǐ,"внутри, в"
里边,lǐbian,"внутри, внутренняя сторона; послелог - внутри, в"
两,liǎng,"два, оба"
零｜〇,"líng, líng","ноль, нуль"
六,liù,"6, шесть"
楼,lóu,многоэтажный дом; этаж
楼上,lóushàng,"наверху, верхний этаж здания"
楼下,lóu xià,"внизу, нижний этаж здания"
路,lù,"дорога, путь"
路口,lùkǒu,перекрёсток; начало улицы; конец улицы
路上,lùshang,"поверхность дороги; (быть) в пути, в дороге"
妈妈｜妈,"māma, mā","мама, мать"
马路,mǎlù,"дорога, улица"
马上,mǎshàng,"сразу, сейчас же"
吗,ma,конечная частица вопросительных предложений
买,mǎi,"купить; покупать, приобретать"
慢,màn,"медленный; тихо, не спеша; отставать, идти медленно"
忙,máng,занятой
毛,máo,"мао (дробная денежная единица в Китае, равняется 10 фэням)"
没,méi,не; не иметь
没关系,méi guānxi,ничего страшного
没什么,méishénme,"не имеет значения; неважно, пустяки; совсем нет"
没事儿,méi shìr,"не обращайте внимания; ничего страшного, все нормально"
没有,méiyǒu,"нет, отсутствует; (для отрицания действий в прош. времени)"
妹妹｜妹,"mèimei, mèi",младшая сестра
门,mén,"дверь, ворота; счетное слово для дисциплин/наук"
门口,ménkǒu,"дверь, ворота"
门票,ménpiào,входной билет
们,men (péngyoumen),суффикс множественного числа личных местоимений и собирательный суффикс существительных
米饭,mǐfàn,рис (вареный)
面包,miànbāo,хлеб
面条儿,miàntiáor,лапша
名字,míngzi,имя
明白,míngbai,"ясно, понятно, понимать"
明年,míngnián,будущий год; в следующем году
明天,míngtiān,"завтра, завтрашний день"
拿,ná,"держать, брать, хватать, нести"
哪,nǎ,"какой?, который?"
哪里,nǎlǐ,ну что Вы
哪儿,nǎr,где? куда?
哪些,nǎxiē,"какой, который, кто, что"
那,nà,"тот, этот; то, это"
那边,nàbiān,"там, туда"
那里,nàlǐ,"там, туда, оттуда"
那儿,nàr,"там, туда; тогда, в то время"
那些,nàxiē,те
奶,nǎi,молоко; грудь; кормить грудью
奶奶,nǎinai,бабушка (по папе)
男,nán,мужской
男孩儿,nánháir,мальчик
男朋友,nánpéngyou,"друг, возлюбленный, бойфренд"
男人,nánrén,мужчина
男生,nánshēng,"ученик, студент (мужского пола); мальчик, парень"
南,nán,"юг, южный"
南边,nánbian,южная сторона
难,nán,трудный
呢,ne,"конечная модальная частица эмоциональноокрашенного предложения, часто перевеодится частицами же, ведь; ну, а; бы"
能,néng,"мочь, быть в состоянии"
你,nǐ,ты
你们,nǐmen,"вы, вам (множ. число)"
年,nián,год
您,nín,"Вы (уважит., единст. число)"
牛奶,niúnǎi,коровье молоко
女,nǚ,"женский, женщина"
女儿,nǚ'ér,дочь
女孩儿,nǚháir,девочка
女朋友,nǚpéngyou,"подруга, возлюбленная, герлфренд"
女人,nǚrén,женщина
女生,nǚshēng,"ученица, студентка"
旁边,pángbiān,"рядом, сбоку"
跑,pǎo,бегать
朋友,péngyou,друг
票,piào,билет
七,qī,"7, семь"
起,qǐ,вставать
起床,qǐ chuáng,вставать с кровати
起来,qǐ lai,"комплемент направления: действия вверх; также обозначает начало действия; вставать, подниматься"
汽车,qìchē,автомобиль
前,qián,"впереди, вперед, до"
前边,qiánbian,"передняя часть, впереди"
前天,qiántiān,позавчера
钱,qián,деньги
钱包,qiánbāo,кошелек
请,qǐng,"приглашать, просить, пожалуйста, угощать"
请假,qǐng jià,просить об отпуске; отпрашиваться с работы
请进,qǐng jìn,"пожалуйста, войдите"
请问,qǐngwèn,извините; позвольте спросить
请坐,qǐng zuò,"пожалуйста, садитесь"
球,qiú,"мяч, шар"
去,qù,"идти, уходить"
去年,qùnián,прошлый год
热,rè,"горячий, разогревать"
人,rén,человек
认识,rènshi,"быть знакомым, знать"
认真,rènzhēn,серьёзный
日,rì,"день, дата"
日期,rìqī,срок; дата
肉,ròu,"мясо, плоть; мякоть (фрукта)"
三,sān,"3, три"
山,shān,"гора, холм"
商场,shāngchǎng,"рынок, торговый центр"
商店,shāngdiàn,магазин
上,shàng,"на, над"
上班,shàng bān,"ходить на работу, начинать смену"
上边,shàngbian,"выше, над, на"
上车,shàngchē,"садиться в, на (транспортное средство)"
上次,shàngcì,прошлый раз
上课,shàng kè,"приходить на урок, посещать занятия"
上网,shàng wǎng,"заходить в интернет, сидеть в интернете"
上午,shàngwǔ,"утро, первая половина дня, до обеда (с 9 до 11)"
上学,shàng xué,"ходить в школу, учиться в школе"
少,shǎo,мало
谁,shéi или shuí,кто?
身上,shēnshang,"на теле; под рукой, при себе"
身体,shēntǐ,тело; здоровье
什么,shénme,что? какой?
生病,shēng bìng,заболеть
生气,shēng qì,"злиться, сердитый"
生日,shēngrì,день рождения
十,shí,"10, десять"
时候,shíhou,время
时间,shíjiān,"время (как отрезок), период"
事,shì,"дело, событие, случай; работа, занятие;"
试,shì,"пробовать, примерять"
是,shì,"быть, являться, да"
是不是,shì bu shì,да или нет?; не так ли?
手,shǒu,рука
手机,shǒujī,мобильный телефон
书,shū,книга
书包,shūbāo,"школьный портфель, сумка для книг"
书店,shūdiàn,книжный магазин
树,shù,дерево
水,shuǐ,вода
水果,shuǐguǒ,фрукт
睡,shuì,спать
睡觉,shuì jiào,"спать, идти спать"
说,shuō,"говорить, разговаривать, рассказывать"
说话,shuō huà,"говорить, разговаривать, рассказывать"
四,sì,"4, четыре"
送,sòng,"доставлять, дарить; посылать; провожать"
岁,suì,"год, лет"
他,tā,он
他们,tāmen,"они, им"
她,tā,она
她们,tāmen,"они, им"
太,tài,"слишком, чересчур"
天,tiān,день; небо
天气,tiānqì,погода
听,tīng,"слушать,слышать"
听到,tīngdào,услышать
听见,tīng jiàn,"слышать, услышать"
听写,tīngxiě,диктовать; диктант
同学,tóngxué,"одноклассник, одногруппник"
图书馆,túshūguǎn,библиотека
外,wài,"снаружи, внешний"
外边,wàibian,"внешняя часть, снаружи"
外国,wàiguó,"иностранное государство, заграница"
外语,wàiyǔ,иностранный язык
玩儿,wánr,"играть, развлекаться"
晚,wǎn,поздний
晚饭,wǎnfàn,ужин
晚上,wǎnshang,вечер
网上,wǎng shang,"Интернет, онлайн, в Интернете"
网友,wǎngyǒu,"пользователь Интернета, друг в Интернете"
忘,wàng,забывать; забывчивость
忘记,wàngjì,"забыть, запамятовать"
问,wèn,спрашивать
我,wǒ,я
我们,wǒmen,мы
五,wǔ,"5, пять"
午饭,wǔfàn,обед
西,xī,"запад, западный"
西边,xībian,западная сторона
洗,xǐ,"мыть, купаться, стирать"
洗手间,xǐshǒujiān,"туалет, уборная"
喜欢,xǐhuan,нравится
下,xià,"вниз, под; идти(снег); спускаться, заканчивать (работу, урок); играть (в шахматы)"
下班,xià bān,уходить с работы; заканчивать смену
下边,xiàbian,"под, внизу"
下车,xiàchē,"сойти, выйти ( напр. из автобуса)"
下次,xiàcì,следующий раз
下课,xià kè,"заканчивать урок, занятия"
下午,xiàwǔ,"после обеда, днем"
下雨,xiàyǔ,идет дождь
先,xiān,сначала; раньше
先生,xiānsheng,"господин, мистер"
现在,xiànzài,сейчас
想,xiǎng,хотеть; думать
小,xiǎo,маленький
小孩儿,xiǎoháir,ребенок
小姐,xiǎojiě,"мисс, девушка"
小朋友,xiǎopéngyǒu,"ребенок, дети"
小时,xiǎoshí,час
小学,xiǎoxué,начальная школа
小学生,xiǎoxuéshēng,ученик начальной школы
笑,xiào,"смеяться, улыбаться; улыбка"
写,xiě,писать
谢谢,xièxie,спасибо
新,xīn,новый
新年,xīnnián,Новый год
星期,xīngqī,неделя
星期日,xīngqīrì,воскресенье
星期天,xīngqītiān,воскресенье
行,xíng,"идти, ходить; заниматься; Ок"
休息,xiūxi,"отдыхать, отдых"
学,xué,"учить, изучать"
学生,xuésheng,"ученик, студент"
学习,xuéxí,"учиться, изучать, учеба"
学校,xuéxiào,"школа, учебное заведение"
学院,xuéyuàn,"институт, академия, колледж"
要,yào,"хотеть, желать; следует, должен"
爷爷,yéye,дедушка (по папе)
也,yě,тоже
页,yè,"страница, листок"
一,yī,"1, один"
衣服,yīfu,одежда
医生,yīshēng,врач
医院,yīyuàn,больница
一半,yíbàn,половина
一会儿,yíhuìr,"чуть-чуть, немного"
一块儿,yíkuàir,вместе; совместно
一下儿,yíxiàr,"немного, недолго; один раз"
一样,yíyàng,одинаковый
一边,yìbiān,"с одной стороны; 一边…...一边 - и…,и…"
一点儿,yìdiǎnr,немного
一起,yìqǐ,вместе
一些,yìxiē,"некоторые, немногие, несколько"
用,yòng,"использовать, применять; с помощью"
有,yǒu,иметь
有的,yǒude,"некоторый, какой-то"
有名,yǒu míng,известный
有时候｜有时,"yǒushíhou, yǒushí","иногда, временами"
有些,yǒu( yī) xiē,иметь немного
有用,yǒuyòng,полезный
右,yòu,"правый, правая часть"
右边,yòubian,справа
雨,yǔ,дождь
元,yuán,юань
远,yuǎn,далекий
月,yuè,месяц
再,zài,"снова, затем"
再见,zàijiàn,до свидания
在,zài,в; находиться в; быть в
在家,zàijiā,"дома, быть дома"
早,zǎo,"ранний, рано"
早饭,zǎofàn,завтрак
早上,zǎoshang,"утром, утро"
怎么,zěnme,как? каким образом? почему?
站,zhàn,"остановка, станция"
找,zhǎo,"искать, давать сдачу"
找到,zhǎodào,находить
这,zhè,"это, этот"
这边,zhèbiān,здесь; на этой стороне
这里,zhèlǐ,здесь; сюда
这儿,zhèr,здесь; сейчас
这些,zhèxiē,эти
着,zhe,"глагольный суффикс, указывает на продолженный характер действия или состояние"
真,zhēn,"правда, настоящий, в самом деле, действительно"
真的,zhēnde,"настоящий, действительный; в самом деле, действительно"
正,zhèng,"действительно; в самом деле; именно; как раз, точно"
正在,zhèngzài,сейчас
知道,zhīdào,знать
知识,zhīshi,знание; интеллект
中,zhōng,"середина, центр; в процессе, в ходе"
中国,Zhōngguó,Китай
中间,zhōngjiān,"среди, посередине, между"
中文,Zhōngwén,"китайский язык, китайская письменность, китайский текст"
中午,zhōngwǔ,полдень
中学,zhōngxué,средняя школа
中学生,zhōngxuéshēng,учащийся средней школы
重,zhòng,"тяжёлый; тяжесть; вес; серьезный, важный"
重要,zhòngyào,важный
住,zhù,"жить, проживать"
准备,zhǔnbèi,"готовиться, собираться; подготовка"
桌子,zhuōzi,стол
字,zì,"иероглиф, слово"
子,zi,суффикс существительных
走,zǒu,ходить (пешком)
走路,zǒu lù,идти по дороге; путешествовать
最,zuì,самый
最好,zuìhǎo,лучше всего
最后,zuìhòu,"последний; наконец, в конце концов"
昨天,zuótiān,вчера
左,zuǒ,левый
左边,zuǒbian,"слева, левая сторона"
坐,zuò,сидеть; ехать на транспорте
坐下,zuòxia,садиться
做,zuò,"делать, готовить "
