Есть в html, нет в dict

Нету слова 破冰器 | ['破冰器', '_', 'Ледокол']
Нету слова 安西亚之戒 | ['安西亚之戒', '_', 'Кольцо антии']
Нету слова 希尔瓦娜斯·风行者的信 | ['希尔瓦娜斯·风行者的信', '_', 'Письмо от Сильваны Ветрокрылой']
Нету слова 食谱：追踪快餐 | ['食谱：追踪快餐', '_', 'Рецепт: завтрак следопыта']
Нету слова 发狂的尸体 | ['发狂的尸体', '_', 'Лихорадочный труп']
Нету слова 食谱：水煮蓝鱼 | ['食谱：水煮蓝鱼', '_', 'Рецепт: вареный луфарь']
Нету слова 橡木槌 | ['橡木槌', '_', 'Дубовая киянка']
Нету слова 黛丝瑞的华美护腿 | ['黛丝瑞的华美护腿', '_', 'Стремительные поножи Дезиры']
Нету слова 书卷：畏缩 | ['书卷：畏缩', '_', 'Книга Сжатия']
Нету слова 食谱：鲜血大餐 | ['食谱：鲜血大餐', '_', 'Рецепт: кровяной пир']
Нету слова 光明使者的璀璨手甲 | ['光明使者的璀璨手甲', '_', 'Сияющие рукавицы Светоносного']
Нету слова ....追踪道标 | ['....追踪道标', '_', 'Отслеживающий маяк БОЛТа']
Нету слова 女儿之手 | ['女儿之手', '_', 'Руки дочери']
Нету слова 食谱：烧烤裂蹄牛 | ['食谱：烧烤裂蹄牛', '_', 'Рецепт: жареное мясо копытня']
Нету слова 霍巴特的备用毂盖 | ['霍巴特的备用毂盖', '_', 'Запасная покрышка Хобарта']
Нету слова 专横争斗者的项链 | ['专横争斗者的项链', '_', 'Ожерелье господствующего бойца']
Нету слова 专横争斗者的战斗披风 | ['专横争斗者的战斗披风', '_', 'Плащ битвы господствующего бойца']
Нету слова 食谱：烹炒大餐 | ['食谱：烹炒大餐', '_', 'Рецепт: угощение вок']
Нету слова 北伐军的公正之触 | ['北伐军的公正之触', '_', 'Благое касание рыцаря']
Нету слова 有标记的无瑕战斗石 | ['有标记的无瑕战斗石', '_', 'Помеченный безупречный камень битв']
Нету слова 食谱：炸鱼 | ['食谱：炸鱼', '_', 'Рецепт: жареная рыбка']
Нету слова 食谱：烟熏鲑鱼 | ['食谱：烟熏鲑鱼', '_', 'Рецепт: копченая форель']
Нету слова 食谱：焰灵鲑鱼 | ['食谱：焰灵鲑鱼', '_', 'Рецепт: лосось духов огня']
Нету слова 石化的黢黑之鳞 | ['石化的黢黑之鳞', '_', 'Окаменевшая черная чешуйка']
Нету слова 食谱：夜之子小食拼盘 | ['食谱：夜之子小食拼盘', '_', 'Рецепт: деликатесное угощение ночнорожденных']
Нету слова 妖术书：蛇 | ['妖术书：蛇', '_', 'Книга сглаза: змея']
Нету слова 食谱：芝士焗鳄鱼 | ['食谱：芝士焗鳄鱼', '_', 'Рецепт: кроколиск о-гратен']
Нету слова yyds | ['yyds', '_', '1) см. 永远滴神\n2) вечно одинокий (永远单身)']
Нету слова 专横争斗者的戒指 | ['专横争斗者的戒指', '_', 'Кольцо господствующего бойца']
Нету слова 罐子里会说话的青蛙 | ['罐子里会说话的青蛙', '_', 'Говорящая лягушка в банке']
Нету слова 折喙鸟大餐 | ['折喙鸟大餐', '_', 'Сюрприз клюволома']
Нету слова 和平守护之刃 | ['和平守护之刃', '_', 'Клинок миротворца']
Нету слова 光明使者的璀璨之冠 | ['光明使者的璀璨之冠', '_', 'Сияющая корона Светоносного']
Нету слова 专横争斗者的徽戒 | ['专横争斗者的徽戒', '_', 'Печатка господствующего бойца']
Нету слова 图纸：绿色喷洒机器人 | ['图纸：绿色喷洒机器人', '_', 'Чертеж: зеленый поливайбот']
Нету слова 袋装青蛙 | ['袋装青蛙', '_', 'Лягушка в мешке']
Нету слова 扎手的夏斯卡格草 | ['扎手的夏斯卡格草', '_', 'Ветвистый фьярнскаггл']
Нету слова 食谱：悼念糕饼 | ['食谱：悼念糕饼', '_', 'Рецепт: поминальный хлеб']
Нету слова 铭焰匕首 | ['铭焰匕首', '_', 'Помеченный огнем кинжал']
Нету слова 食谱：卓格巴尔风味鲑鱼 | ['食谱：卓格巴尔风味鲑鱼', '_', 'Рецепт: лосось по-дрогбарски']
Нету слова 祖尔法拉克铁锣 | ['祖尔法拉克铁锣', '_', 'Гонг ЗулФаррака']
Нету слова 要塞图纸：兵营 | ['要塞图纸：兵营', '_', 'Чертежи гарнизона: казармы']
Нету слова 塔纳安血橙 | ['塔纳安血橙', '_', 'Танаанский кровавый апельсин']
Нету слова 艾瓦诺尔的牢笼 | ['艾瓦诺尔的牢笼', '_', 'Тюрьма Эванор']
Нету слова 窃贼的奖励 | ['窃贼的奖励', '_', 'Награда жулика']
Нету слова 部落奖励宝箱 | ['部落奖励宝箱', '_', 'Сундук с наградой Орды']
Нету слова ”你的祖先“ | ['”你的祖先“', '_', '"Твои предки"']
Нету слова 联盟奖励宝箱 | ['联盟奖励宝箱', '_', 'Сундук с наградой Альянса']
Нету слова 神秘海岛 | ['神秘海岛', '_', 'Неизведанный остров']
Нету слова 祖尔法拉克 | ['祖尔法拉克', '_', 'ЗулФаррак']
Нету слова 不稳定的龙鹰 | ['不稳定的龙鹰', '_', 'Нестабильный дракондор']
Нету слова 希尔瓦娜斯·风行者 | ['希尔瓦娜斯·风行者', '_', 'Леди Сильвана Ветрокрылая']
Нету слова 被捕获的沼泽虎 | ['被捕获的沼泽虎', '_', 'Пойманный ягуар']
Нету слова 军团感应器：敌意 | ['军团感应器：敌意', '_', 'Антенна Легиона: Злоба']
Нету слова 斯库德 | ['斯库德', '_', '"Челюсти"']
Нету слова 维维尔的飞行器 | ['维维尔的飞行器', '_', 'Робот-охранник']
Нету слова 被摧毁的魔能机甲 | ['被摧毁的魔能机甲', '_', 'Разрушенный сквернобот']
Нету слова 蓝色飞蛾 | ['蓝色飞蛾', '_', 'Синий мотылек']
Нету слова 科多兽 | ['科多兽', '_', 'Кодо']
Нету слова 菲尔古 | ['菲尔古', '_', 'Фургу']
Нету слова 厄运战士 | ['厄运战士', '_', 'Помеченный Роком воин']
Нету слова 友好的弗兰克林 | ['友好的弗兰克林', '_', 'Франклин Дружелюбный']
Нету слова 莫多 | ['莫多', '_', 'Мурдо']
Нету слова 军团感应器：湮灭 | ['军团感应器：湮灭', '_', 'Антенна Легиона: Забвение']
Нету слова 奥妮克希亚的精英护卫 | ['奥妮克希亚的精英护卫', '_', 'Элитный охранник Ониксии']
Нету слова 塞拉摩逃亡者 | ['塞拉摩逃亡者', '_', 'Тераморский дезертир']
Нету слова 恶毒导师的影像 | ['恶毒导师的影像', '_', 'Изображение злобного инструктора']
Нету слова 龙鹰 | ['龙鹰', '_', 'Дракондор']
Нету слова 红色飞蛾 | ['红色飞蛾', '_', 'Красный мотылек']
Нету слова 军团感应器：畏惧 | ['军团感应器：畏惧', '_', 'Антенна Легиона: Страх']
Нету слова 拉克托 | ['拉克托', '_', 'Ректор']
Нету слова 大使的荣誉卫士 | ['大使的荣誉卫士', '_', 'Отважный охранник посла']
Нету слова 夏格 | ['夏格', '_', 'Джаг']
Нету слова 军团感应器：暴虐 | ['军团感应器：暴虐', '_', 'Антенна Легиона: Магеддон']
Нету слова 奥克拉 | ['奥克拉', '_', 'Окла']
Нету слова “疯狗”约纳·斯特林 | ['“疯狗”约纳·斯特林', '_', '"Безумный" Иона Стерлинг']
Нету слова 沼泽虎 | ['沼泽虎', '_', 'Болотный ягуар']
Нету слова 库肯 | ['库肯', '_', 'Куркен']
Нету слова 亡者战士 | ['亡者战士', '_', 'Помеченный Смертью воин']
Нету слова 白色飞蛾 | ['白色飞蛾', '_', 'Белый мотылек']
Нету слова 军团感应器：仇恨 | ['军团感应器：仇恨', '_', 'Антенна Легиона: Ненависть']
Нету слова 祖尔法拉克僵尸 | ['祖尔法拉克僵尸', '_', 'Зулфарракский зомби']
Нету слова 莫托尔 | ['莫托尔', '_', 'Молтор']
Нету слова 迪格 | ['迪格', '_', 'Диг']
Нету слова 拉格纳罗斯 | ['拉格纳罗斯', '_', 'Рагнарос']
Нету слова 奥罗 | ['奥罗', '_', 'Оуро']
Нету слова 弗恩·凝眉 | ['弗恩·凝眉', '_', 'Фурл Хмурый Лоб']
Нету слова 黄色飞蛾 | ['黄色飞蛾', '_', 'Желтый мотылек']
Нету слова 勇猛的卫士 | ['勇猛的卫士', '_', 'Охранник-ветеран']
Нету слова 迪菲亚匪徒 | ['迪菲亚匪徒', '_', 'Подручный из братства Справедливости']
Нету слова 唤风者梅恩·长角 | ['唤风者梅恩·长角', '_', 'Призывательница ветров Гордый Рог']
Нету слова 军团感应器：狂乱 | ['军团感应器：狂乱', '_', 'Антенна Легиона: Ярость']
Нету слова 坑道鼠掘地工 | ['坑道鼠掘地工', '_', 'Землекоп-туннельщик']
Нету слова 祖尔法拉克阵亡英雄 | ['祖尔法拉克阵亡英雄', '_', 'Мертвый герой ЗулФаррака']
Нету слова 幽灵面包师 | ['幽灵面包师', '_', 'Бестелесный пекарь']
Нету слова 尼布 | ['尼布', '_', 'Зубастень']
Нету слова 恶毒导师 | ['恶毒导师', '_', 'Злобный инструктор']
Нету слова 档案管理员加尔福特 | ['档案管理员加尔福特', '_', 'Инструктор Галфорд']
Нету слова 鸦人结界 | ['鸦人结界', '_', 'Охранник араккоа']
Нету слова 军团感应器：炼狱 | ['军团感应器：炼狱', '_', 'Антенна Легиона: Геенна']
Нету слова 黑暗战士 | ['黑暗战士', '_', 'Помеченный Тьмой воин']
Нету слова 经验丰富的卫兵 | ['经验丰富的卫兵', '_', 'Опытный охранник']
Нету слова 被摧毁的斥候 | ['被摧毁的斥候', '_', 'Разрушенный часовой']
Нету слова 飞蛾捕捉者 | ['飞蛾捕捉者', '_', 'Ловец шлепокрядов']
Нету слова 骆驼驭手多尔穆斯 | ['骆驼驭手多尔穆斯', '_', 'Дормус Погонщик Верблюдов']
Нету слова 血肉撕裂者诺格加尔 | ['血肉撕裂者诺格加尔', '_', 'Раздиратель Плоти НокГар']
Нету слова 奇维 | ['奇维', '_', 'Жевало']
Нету слова 第二个逃跑的囚犯 | ['第二个逃跑的囚犯', '_', 'Второй сбежавший узник']
Нету слова 乌古特部族成员 | ['乌古特部族成员', '_', 'Дикарь из племени Умгат']
Нету слова 安保官杜尔克 | ['安保官杜尔克', '_', 'Начальник охраны Дирк']
Нету слова 亲切的幽魂 | ['亲切的幽魂', '_', 'Дружелюбный дух']
Нету слова 阿古斯飞蛾 | ['阿古斯飞蛾', '_', 'Аргусский мотылек']
Нету слова 露羽飞蛾 | ['露羽飞蛾', '_', 'Мотылек лую']
Нету слова 莫罗德 | ['莫罗德', '_', 'Мород']
Нету слова 饥饿的监督者 | ['饥饿的监督者', '_', 'Голодный надзиратель']
Нету слова 硬皮抢夺者 | ['硬皮抢夺者', '_', 'Покорный барабанч']
Нету слова 专横的苦力 | ['专横的苦力', '_', 'Зарвавшийся работяга']
Нету слова 黑暗堕落者血骑士 | ['黑暗堕落者血骑士', '_', 'Омраченный рыцарь крови']
Нету слова 镀金飞蛾 | ['镀金飞蛾', '_', 'Золотистый мотылек']
Нету слова 阿莎曼 | ['阿莎曼', '_', 'Пеплошкурая']
Нету слова 楚尔卡 | ['楚尔卡', '_', 'Чарка']
Нету слова 节点领主杜琼·莱德 | ['节点领主杜琼·莱德', '_', 'Повелитель Нексуса Донжон Рейд']
Нету слова 第一个逃跑的囚犯 | ['第一个逃跑的囚犯', '_', 'Первый сбежавший узник']
Нету слова 自然鞭笞者 | ['自然鞭笞者', '_', 'Живой плеточник']
Нету слова 赞达拉血肉撕裂者 | ['赞达拉血肉撕裂者', '_', 'Зандаларский раздиратель плоти']
Нету слова 苏兹 | ['苏兹', '_', 'Сузи']
Нету слова 黑暗堕落者亡刃骑士 | ['黑暗堕落者亡刃骑士', '_', 'Омраченный клинок смерти']
Нету слова 神誓剥皮者 | ['神誓剥皮者', '_', 'Присягнувший свежеватель']
Нету слова 油坑 | ['油坑', '_', 'Нефтяной пруд']
Нету слова 黑暗堕落者顾问 | ['黑暗堕落者顾问', '_', 'Омраченный советник']
Нету слова 织丝者如意 | ['织丝者如意', '_', 'Шелкопряд Жуй']
Нету слова 科里克提克歼灭者 | ['科里克提克歼灭者', '_', 'Криктик-подрывник']
Нету слова 优美的飞蛾 | ['优美的飞蛾', '_', 'Изящный мотылек']
Нету слова 月刃豹 | ['月刃豹', '_', 'Лунный Клык']
Нету слова 战锤大师小布罗林卡 | ['战锤大师小布罗林卡', '_', 'Разоружейник Бролинк-младший']
Нету слова 斯奎 | ['斯奎', '_', 'Вижж']
Нету слова 战锤大师布罗林卡 | ['战锤大师布罗林卡', '_', 'Разоружейник Бролинк']
Нету слова 帕库 | ['帕库', '_', 'Паку']
Нету слова 圆梦双头怪 | ['圆梦双头怪', '_', 'Большой дружелюбный эттин']
Нету слова 穆夫 | ['穆夫', '_', 'Муф']
Нету слова 黑暗堕落者侍女 | ['黑暗堕落者侍女', '_', 'Омраченная-служанка']
Нету слова 迷你小鬼 | ['迷你小鬼', '_', 'Крохотный бесеныш']
Нету слова 死亡浅滩卫士 | ['死亡浅滩卫士', '_', 'Охранник из Мертвецкой Трясины']
Нету слова 天蓝飞蛾 | ['天蓝飞蛾', '_', 'Лазурный мотылек']
Нету слова 着魔的鸦熊 | ['着魔的鸦熊', '_', 'Влюбленный воронух']
Нету слова 拉文凯斯的仆从 | ['拉文凯斯的仆从', '_', 'Слуга Гребня Ворона']
Нету слова 托亚 | ['托亚', '_', 'Тоя']
Нету слова 大法师艾瓦诺尔 | ['大法师艾瓦诺尔', '_', 'Верховный маг Эванор']
Нету слова 船员班农 | ['船员班农', '_', 'Матрос Бэннон']
Нету слова 暴怒飞蛾 | ['暴怒飞蛾', '_', 'Муха Страха']
Нету слова 活泼的幼苗 | ['活泼的幼苗', '_', 'Наглый саженец']
Нету слова 乌佐·唤亡者 | ['乌佐·唤亡者', '_', 'Узо Призыватель Смерти']
Нету слова 影月小飞蛾 | ['影月小飞蛾', '_', 'Маленький мотылек Призрачной Луны']
Нету слова 舞会参与者 | ['舞会参与者', '_', 'Танцовщик']
Нету слова 拉祖姆 | ['拉祖姆', '_', 'Реззун']
Нету слова 索比 | ['索比', '_', 'Гоняш']
Нету слова 碎裂的构造体 | ['碎裂的构造体', '_', 'Разрушенный голем']
Нету слова 虚弱的蹒跚者 | ['虚弱的蹒跚者', '_', 'Ослабевший шаркун']
Нету слова 肌肉虬结的水手 | ['肌肉虬结的水手', '_', 'Дюжий матрос']
Нету слова 花园飞蛾 | ['花园飞蛾', '_', 'Садовый мотылек']
Нету слова 闪光小飞蛾 | ['闪光小飞蛾', '_', 'Сверкающий мотылек']
Нету слова 穆库 | ['穆库', '_', 'Муку']
Нету слова 毫无戒心的骑士 | ['毫无戒心的骑士', '_', 'Беспечный всадник']
Нету слова 骨尘飞蛾 | ['骨尘飞蛾', '_', 'Костокрылый мотылек']
Нету слова 友善的月刃豹 | ['友善的月刃豹', '_', 'Дружелюбный лунопард']
Нету слова 黑暗堕落者贵族 | ['黑暗堕落者贵族', '_', 'Омраченный аристократ']
Нету слова 被污染的鳕鱼 | ['被污染的鳕鱼', '_', 'Больная треска']
Нету слова 仁德会卫兵 | ['仁德会卫兵', '_', 'Охранник ДЭГОЖ']
Нету слова 光点飞蛾 | ['光点飞蛾', '_', 'Сверкающий порхун']
Нету слова 自由的火焰风暴 | ['自由的火焰风暴', '_', 'Необузданный огненный шторм']
Нету слова 熔岩鲸吸者高戈阿克 | ['熔岩鲸吸者高戈阿克', '_', 'Горгак Лавохлеб']
Нету слова 血槌 "补给品" | ['血槌 "补给品"', '_', '"Припасы" Кровавого Молота']
Нету слова 可恶的苦力 | ['可恶的苦力', '_', 'Омерзительный чернорабочий']
Нету слова 剧毒飞蛾 | ['剧毒飞蛾', '_', 'Смертоносный мотылек']
Нету слова 剥皮者金鬃 | ['剥皮者金鬃', '_', 'Златогрив Свежеватель']
Нету слова 谷地飞蛾 | ['谷地飞蛾', '_', 'Долинный порхун']
Нету слова 塔本 | ['塔本', '_', 'Тарбен']
Нету слова 托卢斯 | ['托卢斯', '_', 'Торус']
Нету слова 瑟拉提克 | ['瑟拉提克', '_', 'Шратик']
Нету слова 守护者西波尔克 | ['守护者西波尔克', '_', 'Охранник Ксибек']
Нету слова 奈菲 | ['奈菲', '_', 'Нифи']
Нету слова 霉牙 | ['霉牙', '_', 'Плеснеклык']
Нету слова 瑟拉提克血肉撕裂者 | ['瑟拉提克血肉撕裂者', '_', 'Шратик - раздиратель плоти']
Нету слова 重锤 "戈托" | ['重锤 "戈托"', '_', 'Готу "Молот"']
Нету слова 杀菌炮台 | ['杀菌炮台', '_', 'Очиститель "Бесспорный"']
Нету слова 沾满花粉的工蜂 | ['沾满花粉的工蜂', '_', 'Покрытый пыльцой трутень']
Нету слова 琥珀飞蛾 | ['琥珀飞蛾', '_', 'Янтарный мотылек']
Нету слова 胡拉 | ['胡拉', '_', 'Хура']
Нету слова 塔贝沙 | ['塔贝沙', '_', 'Табита']
Нету слова 真菌飞蛾 | ['真菌飞蛾', '_', 'Грибной мотылек']
Нету слова 乌瑟 | ['乌瑟', '_', 'Слязь']
Нету слова 友好的兽人蛮兵 | ['友好的兽人蛮兵', '_', 'Дружелюбный орк-громила']
Нету слова 被遗忘的饥渴者 | ['被遗忘的饥渴者', '_', 'Забытый жаждущий маны иссохший']
Нету слова 璀璨日光黄晶 | ['璀璨日光黄晶', '_', 'Топаз сияющего солнца']
Нету слова 拉斯普 | ['拉斯普', '_', 'Скреж']
Нету слова 小变异魔丝蛾 | ['小变异魔丝蛾', '_', 'Крохотный мутировавший шелкопряд']
Нету слова 黑暗堕落者达斯·血痕 | ['黑暗堕落者达斯·血痕', '_', 'Омраченный кровопийца']
Нету слова 远望栖地掷斧者 | ['远望栖地掷斧者', '_', 'Метатель топоров из Гнезда']
Нету слова 恐惧织网小蜘蛛 | ['恐惧织网小蜘蛛', '_', 'Страхопряд-охранник']
Нету слова 耶德 | ['耶德', '_', 'Джейд']
Нету слова 黑暗堕落者指挥官 | ['黑暗堕落者指挥官', '_', 'Омраченный командир']
Нету слова 夏洛 | ['夏洛', '_', 'Шало']
Нету слова 雷神剥皮者 | ['雷神剥皮者', '_', 'Шкуродер из клана Громоборцев']
Нету слова 维斯基 | ['维斯基', '_', 'Виизки']
Нету слова 冰魂始祖龙 | ['冰魂始祖龙', '_', 'Рожденный во льдах протодракон']
Нету слова "轮休”的学员 | ['"轮休”的学员', '_', 'Кадет в "увольнении"']
Нету слова 齐格莉德·冰魂 | ['齐格莉德·冰魂', '_', 'Сигрид Дитя Льда']
Нету слова 利森 | ['利森', '_', 'Лесан']
Нету слова 黑暗堕落者大法师 | ['黑暗堕落者大法师', '_', 'Омраченный верховный маг']
Нету слова 温顺的魔犬 | ['温顺的魔犬', '_', 'Покорный ловец Скверны']
Нету слова 奥米 | ['奥米', '_', 'Оме']
Нету слова 农场飞蛾 | ['农场飞蛾', '_', 'Полевой мотылек']
Нету слова 斯维 | ['斯维', '_', 'Сви']
Нету слова 狂怒的冰龙 | ['狂怒的冰龙', '_', 'Мстительный ледяной змей']
Нету слова 齐格莉德·冰魂的始祖幼龙 | ['齐格莉德·冰魂的始祖幼龙', '_', 'Протодракон Сигрид Дитя Льда']
Нету слова 被削弱的监工戴瑟盖斯 | ['被削弱的监工戴瑟盖斯', '_', 'Ослабленный надзиратель Убийственный Взгляд']
Нету слова 颤鸣飞蛾 | ['颤鸣飞蛾', '_', 'Поющий мотылек']
Нету слова 赞奇 | ['赞奇', '_', 'Занчи']
Нету слова 皇家飞蛾 | ['皇家飞蛾', '_', 'Королевский мотылек']
Нету слова 林赛的飞机 | ['林赛的飞机', '_', 'Транспорт Джока']
Нету слова 斑点飞蛾 | ['斑点飞蛾', '_', 'Пятнистый мотылек']
Нету слова 双塔投石手 | ['双塔投石手', '_', 'Подрывник Двух Башен']
Нету слова 黑暗堕落者将领 | ['黑暗堕落者将领', '_', 'Омраченный лейтенант']
Нету слова "闪电" | ['"闪电"', '_', '"Искорка"']
Нету слова 不稳定的紫鳞浮龙 | ['不稳定的紫鳞浮龙', '_', 'Нестабильная лиловая чешуя']
Нету слова 赤红飞蛾 | ['赤红飞蛾', '_', 'Багровый мотылек']
Нету слова 供给官芙蕾 | ['供给官芙蕾', '_', 'Поставщица Фрай']
Нету слова 拉凡 | ['拉凡', '_', 'Рэвиан']
Нету слова 黑色骷髅战马 | ['黑色骷髅战马', '_', 'Черный тяжеловоз-скелет']
Нету слова 蛮项营地打手 | ['蛮项营地打手', '_', 'Подручный Сорвиголов']
Нету слова 幼飞蛾 | ['幼飞蛾', '_', 'Молодой мотылек']
Нету слова 条纹飞蛾 | ['条纹飞蛾', '_', 'Полосатый мотылек']
Нету слова 暴风之盾矿井守卫 | ['暴风之盾矿井守卫', '_', 'Охранник шахты Преграды Ветров']
Нету слова 赞达拉独木舟 | ['赞达拉独木舟', '_', 'Зандаларское каноэ']
Нету слова 冰魂审讯者 | ['冰魂审讯者', '_', 'Хладнокровный дознаватель']
Нету слова 多普 | ['多普', '_', 'Тупень']
Нету слова 苏加 | ['苏加', '_', 'Суджа']
Нету слова 布莱恩·费恩 | ['布莱恩·费恩', '_', 'Брайан Финн']
Нету слова 复仇尖啸者 | ['复仇尖啸者', '_', 'Мстительный визгун']
Нету слова 友好的牦牛人之魂 | ['友好的牦牛人之魂', '_', 'Дружелюбный дух таунка']
Нету слова 裂骨 | ['裂骨', '_', 'Смехокость']
Нету слова 恐慌飞蛾 | ['恐慌飞蛾', '_', 'Объятый ужасом мотылек']
Нету слова 鹰隼大师晨角 | ['鹰隼大师晨角', '_', 'Ловчая Рассветный Рог']
Нету слова 骷髅战马 | ['骷髅战马', '_', 'Боевой конь-скелет']
Нету слова 黑暗堕落者谋士 | ['黑暗堕落者谋士', '_', 'Омраченный тактик']
Нету слова 被削弱的阿瑟里恩 | ['被削弱的阿瑟里恩', '_', 'Ослабленный Эферион']
Нету слова 和平主义者贾鲁克 | ['和平主义者贾鲁克', '_', 'Джалук Мирный']
Нету слова 赞达拉丛林豹战士 | ['赞达拉丛林豹战士', '_', 'Зандаларский воин-ягуар']
Нету слова 贸易执行者 | ['贸易执行者', '_', 'Охранник торговцев']
Нету слова 斯布拉格·轰爆 | ['斯布拉格·轰爆', '_', 'Распор Баззбум']
Нету слова 被侵蚀的道标石 | ['被侵蚀的道标石', '_', 'Разрушенный путевой камень']
Нету слова 纳修 | ['纳修', '_', 'Нашо']
Нету слова 自以为是的弗朗西斯 | ['自以为是的弗朗西斯', '_', 'Фрэнсис Сноб']
Нету слова 狠毒的灭愿者 | ['狠毒的灭愿者', '_', 'Злобный сокрушитель надежды']
Нету слова 友善的鱼人 | ['友善的鱼人', '_', 'Дружелюбный мурлок']
Нету слова 复仇的潜伏者 | ['复仇的潜伏者', '_', 'Мстительный скрытень']
Нету слова 脱水的飞蛾 | ['脱水的飞蛾', '_', 'Иссушенный мотылек']
Нету слова 絮语的血肉兽 | ['絮语的血肉兽', '_', 'Бормочущий мясожор']
Нету слова 强大的飞蛾克星 | ['强大的飞蛾克星', '_', 'Молебой Могучий']
Нету слова 修理工比克希 | ['修理工比克希', '_', 'Толкач Бикси']
Нету слова 巫妖之誓护卫 | ['巫妖之誓护卫', '_', 'Служащий личам охранник']
Нету слова 迷情迅蝶 | ['迷情迅蝶', '_', 'Влюбленный летун']
Нету слова 苏尔诺 | ['苏尔诺', '_', 'Сарнол']
Нету слова 恶毒影魔 | ['恶毒影魔', '_', 'Зловредная тень']
Нету слова 抱起远航图腾 | ['抱起远航图腾', '_', 'Запал тотема мореплавания']
Нету слова 召唤祖尔法拉克僵尸 | ['召唤祖尔法拉克僵尸', '_', 'Оповещение о зулфарракском зомби']
Нету слова 热疫撕咬 | ['热疫撕咬', '_', 'Лихорадочный смертельный укус']
Нету слова 制造祖尔法拉克之槌 | ['制造祖尔法拉克之槌', '_', 'Создание молота ЗулФаррака']
Нету слова 传送：祖阿曼副本 | ['传送：祖阿曼副本', '_', 'Телепортация: специальная область ЗулАман']
Нету слова 大冒险家奖励 | ['大冒险家奖励', '_', 'Награда Главного Путешественника']
